preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
5.7673,29.2428,0.4535,2.6011,29.9353
5.6970,29.4690,0.4573,2.6014,32.7753
5.7826,30.9951,0.4747,2.6722,30.0754
5.7168,30.1409,0.4559,2.8429,32.8436
5.7604,30.0677,0.4563,3.0587,29.6569
5.7499,30.0026,0.4520,2.9614,27.8340
6.8336,29.4645,0.4799,2.7819,32.4402
6.4201,29.8543,0.4606,2.8398,33.4251
5.7569,30.0498,0.4601,3.0735,28.6597
5.7139,30.0233,0.4590,2.8300,31.9737
5.7075,31.9748,0.4663,3.1748,31.6766
5.6005,28.3482,0.4411,2.6121,29.9982
5.9876,29.5691,0.4354,2.6817,27.3261
5.4884,29.6867,0.4392,2.9047,31.4811
5.5583,29.1231,0.5202,3.2973,29.5011
5.5685,28.3175,0.4425,2.8005,29.8711
5.6620,28.1940,0.4389,2.6205,31.0847
5.7104,28.9192,0.4556,2.6331,27.2817
5.8002,28.8699,0.4482,2.8579,33.0237
5.7471,28.7800,0.4399,3.0720,30.9610
5.7251,31.5049,0.4773,3.0649,36.2278
5.7669,30.7221,0.4556,2.9426,26.1128
5.7952,30.2162,0.4549,2.8930,32.6407
5.8184,30.1464,0.4554,2.8851,27.6948
5.7962,29.2728,0.4563,2.8269,29.6477
5.8224,30.9403,0.4711,2.9533,33.8129
5.8739,31.3890,0.4549,3.1066,28.1756
5.8796,30.9000,0.4549,3.3817,30.3837
5.8322,30.1430,0.4551,2.8858,32.6838
5.8467,29.3610,0.4575,2.7566,27.5781
5.8453,30.9446,0.4559,3.1095,27.6448
5.7683,30.3347,0.4530,3.0775,33.3665
5.8475,30.9379,0.4673,3.0429,27.7044
5.9018,30.6721,0.4661,2.9616,25.9984
5.7766,29.7453,0.4432,3.1633,32.8715
5.7116,28.9819,0.4399,3.2835,29.5831
5.7631,29.6841,0.4406,3.1056,29.0066
5.8069,31.4832,0.4590,3.3205,28.9305
6.3391,30.4110,0.4380,3.2303,28.5816
6.3732,28.6093,0.4420,2.6696,25.9060
5.7237,28.8482,0.4416,2.6746,31.3120
5.7130,29.6988,0.4404,2.7142,27.4336
5.7049,30.7434,0.4804,2.9850,31.0863
5.8331,33.4675,0.4692,3.3023,28.9278
6.1157,31.9414,0.4408,3.6390,29.8631
5.7042,32.5079,0.4399,3.6082,36.7398
5.5983,30.9355,0.4253,3.7580,30.2829
5.6217,29.3679,0.4249,3.3038,32.2818
5.8544,30.4546,0.4640,3.6957,29.5313
5.5192,29.3241,0.4263,3.2020,28.5285
5.5571,29.4981,0.4261,3.1688,29.3500
5.6660,31.0068,0.4427,3.4683,29.4162
5.7645,31.0662,0.4423,3.6967,32.0304
5.5814,28.6319,0.4265,3.3085,25.0516
5.5871,28.7158,0.4249,3.5887,28.6835
5.5521,31.2345,0.4451,3.5026,31.2657
5.6758,30.5350,0.4399,3.5396,32.8098
5.8038,32.6543,0.4559,3.8750,35.2110
5.8446,32.4297,0.4563,3.8657,29.4037
5.7077,31.2631,0.4404,4.0355,32.5533
5.6126,31.5661,0.4277,4.2994,29.0941
5.4357,29.8355,0.4265,3.9029,31.3994
5.4231,30.2632,0.4129,4.4830,33.4178
5.4572,29.2373,0.4306,4.1502,28.7248
5.4386,29.1591,0.4144,4.0078,27.9802
5.4772,28.2438,0.4127,3.8021,29.0643
5.4338,27.6411,0.4127,3.5796,26.9328
5.5056,28.4498,0.4160,3.6237,29.0049
5.5017,28.3728,0.4117,3.7277,33.9861
5.5285,28.5630,0.4249,3.6182,26.8654
5.4545,28.4173,0.4117,3.6261,28.0903
5.4948,28.4104,0.4113,3.7215,31.9620
5.6002,28.6353,0.4230,3.5536,24.7879
5.6856,30.6129,0.4423,4.3211,28.9381
5.4865,29.8414,0.4287,4.4436,25.7998
5.5623,30.8673,0.4261,4.3478,28.7965
5.4820,29.5346,0.4342,4.2362,30.3131
6.7565,29.0735,0.4151,3.9954,32.7595
5.7125,29.0833,0.4263,4.1196,28.6583
5.4963,27.6017,0.4289,4.0066,29.4665
5.4896,29.1719,0.4122,3.9749,32.9513
5.5048,29.1972,0.4137,4.3466,29.5377
5.6102,29.6257,0.4129,4.3082,30.0430
5.5292,29.1843,0.4146,4.2417,31.6302
5.9526,30.5274,0.4327,4.3297,34.7576
5.5468,29.1181,0.4148,4.1177,25.8026
5.5501,29.0811,0.4108,4.1134,29.8445
5.5134,29.0685,0.4141,4.0662,30.9377
5.5699,30.3605,0.4134,4.3864,28.2698
5.5399,29.7832,0.4144,4.2236,32.0389
5.5327,29.7737,0.4127,4.2193,30.0616
5.8439,29.4652,0.4439,4.6194,32.6276
5.5664,29.8481,0.4120,4.2453,32.9283
5.6241,29.7909,0.4146,4.0979,28.0725
5.6572,30.6828,0.4213,4.1437,33.0950
5.6975,30.6032,0.4406,4.1327,29.1260
5.6522,31.7259,0.4258,4.1242,30.0719
5.7511,31.6257,0.4265,4.1165,36.0801
5.7206,31.5795,0.4253,4.3330,35.9415
5.7535,30.7534,0.4277,4.3931,32.6723
6.5255,31.8062,0.4342,4.3523,28.8818
5.7142,31.1477,0.4199,4.3454,28.3728
5.6999,29.8715,0.4122,4.0033,34.0132
5.6884,29.8135,0.4153,3.9120,29.1707
5.6360,30.5290,0.4148,4.1428,30.2774
5.5823,30.5634,0.4141,3.9794,30.4607
5.6231,30.6416,0.4141,4.0617,29.2595
5.6262,52.6006,0.5472,5.9464,33.2796
7.5381,34.1039,0.4017,3.8552,30.1011
5.4984,28.1723,0.3836,4.0987,30.8471
5.4877,28.7724,0.3815,4.1139,31.2446
5.6169,28.1303,0.3898,3.9215,31.9415
5.6319,28.6455,0.4017,3.7909,31.5300
5.5838,29.5620,0.4058,3.8879,30.5606
5.7266,30.2513,0.4132,3.8865,30.7225
5.6722,29.5303,0.4025,3.8917,27.5033
5.6033,28.8935,0.4036,3.9742,34.1254
5.6694,30.4432,0.4137,4.4849,34.9889
5.6698,29.2130,0.4122,3.8528,30.8521
5.6584,29.0668,0.4201,3.9189,32.9358
5.7623,29.1278,0.4251,3.9098,31.7749
5.8174,31.2674,0.4256,3.9752,31.5145
5.7313,29.8483,0.4113,3.9492,33.0599
5.6744,29.5851,0.4151,3.8993,28.4261
5.7058,29.0864,0.4146,3.8140,30.9792
5.7213,30.5672,0.4132,3.8998,32.3985
5.7142,31.4178,0.4246,4.0801,32.3633
5.6858,30.4420,0.4263,4.0531,29.3928
6.5720,30.1523,0.4122,3.9709,32.8926
6.1781,29.4919,0.4029,3.9325,28.9946
5.6221,29.7630,0.4153,4.0915,29.1080
5.6865,29.6693,0.4141,3.8478,30.3822
5.6775,28.4541,0.4117,3.5415,29.9153
5.7058,28.4433,0.4199,3.6275,31.8034
5.6219,29.1357,0.4251,3.6457,31.1716
5.7778,30.7810,0.4280,3.7007,27.3124
5.7735,31.9777,0.4516,4.1490,31.6483
7.1034,31.9936,0.4282,3.8819,34.5928
6.2642,31.9331,0.4396,3.8054,32.5577
5.7950,31.5759,0.4244,3.8457,29.3590
5.7271,30.1416,0.4241,3.7580,32.9493
5.8532,31.0853,0.4416,3.7572,29.8628
5.7533,32.3968,0.5043,4.0901,28.2556
5.6612,30.7822,0.4115,3.6888,31.4562
5.6720,31.2891,0.4127,3.7737,28.8525
5.6722,29.7663,0.4125,3.9101,29.2389
5.6665,29.7647,0.4117,3.8002,32.3570
6.9203,31.5814,0.4404,3.8371,28.2208
5.8575,30.2522,0.4432,3.8114,31.6357
5.8494,30.8223,0.4408,3.6969,30.1906
5.9624,30.0891,0.4272,3.6697,28.8515
6.9876,29.9904,0.4270,3.6607,24.9343
5.8193,30.3371,0.4277,3.6347,32.7812
5.6477,30.2010,0.4368,3.6106,29.1040
5.7597,30.1020,0.4230,3.6583,31.0570
5.7881,29.8855,0.4473,3.7024,28.1767
6.7112,30.3371,0.4270,3.6056,27.9190
6.4299,30.2351,0.4389,3.6674,31.2288
5.7218,30.2241,0.4385,3.6438,30.9719
6.6185,31.8017,0.4458,3.7804,27.3536
6.3009,29.2821,0.4287,3.6516,31.3367
5.6841,30.1588,0.4284,3.6387,33.0899
5.7335,29.9466,0.4907,3.7227,29.1066
5.7054,30.1535,0.4292,3.5141,29.1979
6.2451,29.1433,0.4282,3.5064,33.6769
5.6939,28.6310,0.4268,3.2237,32.0247
5.6221,30.4046,0.4430,3.2747,30.2556
5.7335,29.6371,0.4241,3.4606,32.7446
5.8498,30.2770,0.4401,3.3457,30.0873
5.7664,30.4232,0.4520,3.2761,27.0823
5.8012,30.1938,0.4425,3.4304,33.1321
6.4015,34.1220,0.4852,3.5686,26.4226
5.7769,31.6682,0.4547,3.5398,29.5605
5.8429,32.9006,0.4587,3.5574,34.2403
5.8956,32.5732,0.4578,3.7417,30.3317
5.8646,32.7189,0.4585,3.9403,29.0177
5.9566,33.0806,0.4787,3.7105,30.7735
6.8073,32.8000,0.4563,3.7737,50.1627
6.5064,31.6498,0.4590,3.5453,35.8395
5.9924,30.8759,0.4609,4.3836,39.2872
5.8856,33.6323,0.4561,3.3207,29.7053
5.8613,30.1566,0.4423,3.3622,25.1777
5.6927,29.4251,0.4249,3.6380,26.8192
5.9810,29.5112,0.4551,3.6409,26.4118
5.6984,29.2430,0.4268,3.4773,27.1545
5.7116,29.3994,0.4237,3.6180,31.8474
5.7664,30.3555,0.4411,3.7162,27.7208
