Preprocessing,Inference,Postprocessing,Tracking,OpFlow
4.1856,109.7386,4.8580,1.2891,0.0000
4.3267,109.2551,4.1346,1.0792,0.0000
4.2693,109.5590,3.9833,0.9964,0.0000
4.2104,109.1481,4.1521,1.0190,0.0000
4.1848,109.7198,4.2823,0.9924,0.0000
4.4790,109.7402,4.1924,1.0841,0.0000
4.3154,109.7337,3.9582,1.0232,0.0000
4.2659,109.7763,4.2598,1.0296,0.0000
4.1778,109.7990,4.3418,1.0220,0.0000
4.4098,109.9408,4.2388,0.9848,0.0000
4.2654,109.6823,3.9619,0.9913,0.0000
4.1870,109.1533,4.1531,0.9526,0.0000
4.1774,109.6919,4.2791,0.9245,0.0000
4.5797,109.2045,4.1393,0.9906,0.0000
4.3272,109.6507,3.9277,0.9893,0.0000
4.2272,109.7077,4.2344,1.0024,0.0000
4.1748,109.8419,4.3728,0.9852,0.0000
4.4006,109.8946,4.2541,0.9914,0.0000
4.3002,109.8536,3.9577,0.9110,0.0000
4.1800,109.6676,4.2071,0.9329,0.0000
4.1456,109.7976,4.2930,0.9619,0.0000
4.4502,109.2939,4.1240,0.9880,0.0000
4.3058,109.8537,3.9482,0.9810,0.0000
4.2310,109.9017,4.2166,1.0289,0.0000
4.1734,109.8185,4.3608,1.0153,0.0000
4.7732,109.1368,4.1390,0.9654,0.0000
4.2736,109.6577,3.9809,1.0154,0.0000
4.1556,110.0186,4.2567,1.0550,0.0000
4.1738,110.0679,4.3744,0.9757,0.0000
4.4677,109.9080,4.1678,1.0290,0.0000
4.3083,109.7904,3.8972,0.9637,0.0000
4.2161,109.6662,4.2147,0.9891,0.0000
4.1769,109.7732,4.3099,1.0233,0.0000
4.4626,109.6204,4.2031,0.9871,0.0000
4.2780,109.3890,3.8847,0.9792,0.0000
4.1773,109.9427,4.1600,1.0033,0.0000
4.2032,110.1439,4.2999,0.9519,0.0000
4.4300,109.8371,4.1923,0.9434,0.0000
4.3889,109.7836,3.9111,0.9353,0.0000
4.1776,109.9178,4.2411,0.9434,0.0000
4.1559,109.8742,4.3320,1.0176,0.0000
4.5216,109.7708,4.2629,0.9434,0.0000
4.2898,109.8383,3.9705,0.9556,0.0000
4.2099,109.9646,4.1914,0.9461,0.0000
4.1793,109.6641,5.0280,1.1692,0.0000
4.2021,109.8102,4.1743,0.9938,0.0000
4.3180,109.5957,3.9388,1.0319,0.0000
4.1662,109.7743,4.1875,1.0632,0.0000
4.2091,109.9014,4.3141,1.0112,0.0000
4.5733,109.6622,4.1659,0.9266,0.0000
4.2870,108.7227,3.9298,0.9985,0.0000
4.2205,110.6761,4.1886,0.9909,0.0000
4.1726,109.7205,4.3326,0.9600,0.0000
4.4482,109.6055,4.2000,1.0413,0.0000
4.3022,109.5761,3.9244,0.9606,0.0000
4.1710,109.7150,4.1457,0.9491,0.0000
4.2161,109.3842,4.6974,0.8933,0.0000
4.2955,110.7705,4.1884,1.0689,0.0000
4.3161,109.3695,3.9332,1.0410,0.0000
4.2107,109.6374,4.1815,0.9419,0.0000
4.1652,109.7359,4.3581,0.9899,0.0000
4.5560,109.5743,4.1970,1.0513,0.0000
4.2972,109.4938,3.9630,0.9781,0.0000
4.1899,109.5083,4.1507,0.9701,0.0000
