frame_number,prep_ms,inference_ms,post_ms,tracking_ms,opflow_ms
1,47.6618,125.5836,21.5190,0.1125,1.7618
2,0.0000,0.0000,0.0000,0.0279,6.2726
3,0.0000,0.0000,0.0000,0.0258,7.6718
4,4.1902,109.8037,1.2830,0.1143,0.9039
5,0.0000,0.0000,0.0000,0.0260,6.7330
6,0.0000,0.0000,0.0000,0.0279,7.4393
7,3.8529,109.7708,1.3338,0.1259,0.7655
8,0.0000,0.0000,0.0000,0.0259,7.8964
9,0.0000,0.0000,0.0000,0.0271,7.4713
10,3.9646,109.9102,1.3047,0.1184,0.7642
11,0.0000,0.0000,0.0000,0.0254,7.3254
12,0.0000,0.0000,0.0000,0.0279,7.3199
13,3.8787,110.0754,1.4939,0.1511,1.0004
14,0.0000,0.0000,0.0000,0.0307,13.4094
15,0.0000,0.0000,0.0000,0.0302,8.7043
16,3.9886,109.8940,1.4085,0.1525,1.0225
17,0.0000,0.0000,0.0000,0.0297,10.5186
18,0.0000,0.0000,0.0000,0.0315,10.1011
19,3.9174,110.4329,1.5259,0.1805,1.0478
20,0.0000,0.0000,0.0000,0.0313,11.2196
21,0.0000,0.0000,0.0000,0.0332,18.1424
22,4.1675,110.1275,1.3814,0.1434,0.9274
23,0.0000,0.0000,0.0000,0.0290,10.3599
24,0.0000,0.0000,0.0000,0.0292,10.0123
25,3.8364,110.0522,1.3652,0.1519,0.9646
26,0.0000,0.0000,0.0000,0.0295,10.1886
27,0.0000,0.0000,0.0000,0.0308,9.8077
28,3.9777,110.4407,0.7202,0.1529,0.9628
29,0.0000,0.0000,0.0000,0.0299,9.7803
30,0.0000,0.0000,0.0000,0.0292,9.3383
31,3.8090,111.1117,0.6527,0.1327,0.9754
32,0.0000,0.0000,0.0000,0.0290,8.7202
33,0.0000,0.0000,0.0000,0.0295,8.5975
34,4.1785,110.3511,0.7414,0.1477,0.9860
35,0.0000,0.0000,0.0000,0.0295,9.3189
36,0.0000,0.0000,0.0000,0.0310,8.5784
37,3.8549,110.3549,0.7076,0.1353,1.0057
38,0.0000,0.0000,0.0000,0.0441,8.5116
39,0.0000,0.0000,0.0000,0.0291,8.8271
40,3.8801,110.3243,0.6736,0.1376,0.9357
41,0.0000,0.0000,0.0000,0.0267,7.4353
42,0.0000,0.0000,0.0000,0.0294,8.0623
43,3.9034,110.2765,0.7018,0.1476,1.0635
44,0.0000,0.0000,0.0000,0.0270,8.4381
45,0.0000,0.0000,0.0000,0.0282,7.6300
46,3.8787,110.1530,0.8816,0.1542,1.0632
47,0.0000,0.0000,0.0000,0.0294,8.7424
48,0.0000,0.0000,0.0000,0.0303,8.5745
49,3.9248,110.2690,0.8184,0.1595,1.0249
50,0.0000,0.0000,0.0000,0.0294,8.8778
51,0.0000,0.0000,0.0000,0.0316,8.4928
52,3.8221,110.2004,0.7876,0.1778,1.0542
53,0.0000,0.0000,0.0000,0.0293,10.5133
54,0.0000,0.0000,0.0000,0.0327,9.7562
55,3.8760,110.3744,0.8479,0.1705,1.1766
56,0.0000,0.0000,0.0000,0.0318,12.2032
57,0.0000,0.0000,0.0000,0.0343,12.5967
58,3.8927,109.8947,0.6424,0.1757,1.1441
59,0.0000,0.0000,0.0000,0.0315,11.9819
60,0.0000,0.0000,0.0000,0.0345,10.7701
61,3.8835,110.7285,0.6463,0.1793,1.1882
62,0.0000,0.0000,0.0000,0.0326,12.3401
63,0.0000,0.0000,0.0000,0.0339,11.1772
64,3.8922,110.2488,0.5837,0.1503,1.1823
65,0.0000,0.0000,0.0000,0.0328,10.8407
66,0.0000,0.0000,0.0000,0.0332,11.0955
67,3.9251,110.2074,0.5956,0.1655,1.1479
68,0.0000,0.0000,0.0000,0.0321,11.5166
69,0.0000,0.0000,0.0000,0.0352,10.6072
70,3.8514,110.2286,0.5595,0.1463,1.2111
71,0.0000,0.0000,0.0000,0.0328,12.1954
72,0.0000,0.0000,0.0000,0.0341,13.3020
73,3.8879,110.2309,0.5929,0.1486,1.1864
74,0.0000,0.0000,0.0000,0.0317,12.3512
75,0.0000,0.0000,0.0000,0.0322,11.2745
76,3.8696,110.0290,0.5653,0.1702,1.1746
77,0.0000,0.0000,0.0000,0.0326,10.5215
78,0.0000,0.0000,0.0000,0.0328,10.8251
79,4.0810,111.3734,0.6770,0.1628,1.2341
80,0.0000,0.0000,0.0000,0.0333,10.0948
81,0.0000,0.0000,0.0000,0.0447,10.9541
82,3.9036,110.2404,0.5912,0.1631,1.1582
83,0.0000,0.0000,0.0000,0.0334,11.9292
84,0.0000,0.0000,0.0000,0.0322,11.0239
85,3.9592,110.3518,0.6393,0.1612,1.2585
86,0.0000,0.0000,0.0000,0.0323,15.9645
87,0.0000,0.0000,0.0000,0.0330,11.3576
88,4.0081,110.6104,0.6152,0.1604,1.2674
89,0.0000,0.0000,0.0000,0.0330,11.6971
90,0.0000,0.0000,0.0000,0.0349,10.8713
91,3.9364,111.1567,0.6090,0.1368,1.3033
92,0.0000,0.0000,0.0000,0.0311,11.9034
93,0.0000,0.0000,0.0000,0.0323,11.6652
94,3.8636,110.3167,0.6154,0.1471,1.3125
95,0.0000,0.0000,0.0000,0.0310,10.6146
96,0.0000,0.0000,0.0000,0.0328,11.3483
97,3.9626,110.2603,0.6126,0.1427,1.3356
98,0.0000,0.0000,0.0000,0.0319,11.9026
99,0.0000,0.0000,0.0000,0.0334,10.9444
100,3.8146,110.1161,0.5745,0.1665,1.3839
101,0.0000,0.0000,0.0000,0.0317,12.2237
102,0.0000,0.0000,0.0000,0.0321,10.8410
