Preprocessing,Inference,Postprocessing,Tracking,OpFlow
0.0000,0.0000,0.0000,0.0000,9.5892
0.0000,0.0000,0.0000,0.0000,8.9175
4.1350,46.7183,4.1437,10.1433,0.0000
0.0000,0.0000,0.0000,0.0000,10.8708
0.0000,0.0000,0.0000,0.0000,11.6097
4.2194,46.7047,4.0958,11.2081,0.0000
0.0000,0.0000,0.0000,0.0000,11.2268
0.0000,0.0000,0.0000,0.0000,10.2799
4.1648,46.5927,4.1792,11.2947,0.0000
0.0000,0.0000,0.0000,0.0000,13.5263
0.0000,0.0000,0.0000,0.0000,11.7391
4.1176,46.3977,4.2927,11.5825,0.0000
0.0000,0.0000,0.0000,0.0000,11.0374
0.0000,0.0000,0.0000,0.0000,10.5948
4.1415,46.5722,4.1475,10.5952,0.0000
0.0000,0.0000,0.0000,0.0000,10.3474
0.0000,0.0000,0.0000,0.0000,10.3397
4.1587,46.4166,4.1670,11.4489,0.0000
0.0000,0.0000,0.0000,0.0000,10.4840
0.0000,0.0000,0.0000,0.0000,10.4626
4.7627,46.9399,4.2043,11.4999,0.0000
0.0000,0.0000,0.0000,0.0000,12.1018
0.0000,0.0000,0.0000,0.0000,11.4821
4.1871,46.5203,4.2076,12.7879,0.0000
0.0000,0.0000,0.0000,0.0000,16.1650
0.0000,0.0000,0.0000,0.0000,16.1278
4.2631,46.5472,4.1850,16.9450,0.0000
0.0000,0.0000,0.0000,0.0000,14.2734
0.0000,0.0000,0.0000,0.0000,11.3687
4.1419,46.8897,4.1238,13.4823,0.0000
0.0000,0.0000,0.0000,0.0000,13.6527
0.0000,0.0000,0.0000,0.0000,12.9618
4.1777,46.5160,4.0580,14.8247,0.0000
0.0000,0.0000,0.0000,0.0000,13.2349
0.0000,0.0000,0.0000,0.0000,12.4463
4.1259,46.4878,4.1110,13.9232,0.0000
0.0000,0.0000,0.0000,0.0000,15.3005
0.0000,0.0000,0.0000,0.0000,13.9044
4.1499,46.5120,4.2470,14.3597,0.0000
0.0000,0.0000,0.0000,0.0000,11.4944
0.0000,0.0000,0.0000,0.0000,11.7179
4.1360,46.6062,4.0726,12.2639,0.0000
0.0000,0.0000,0.0000,0.0000,13.7854
0.0000,0.0000,0.0000,0.0000,11.3426
4.6051,46.4428,4.1279,12.9727,0.0000
0.0000,0.0000,0.0000,0.0000,14.1030
0.0000,0.0000,0.0000,0.0000,12.4317
4.5894,46.7354,4.0486,13.9883,0.0000
0.0000,0.0000,0.0000,0.0000,16.0179
0.0000,0.0000,0.0000,0.0000,14.4941
4.1713,46.5418,4.0655,15.0426,0.0000
0.0000,0.0000,0.0000,0.0000,10.0968
0.0000,0.0000,0.0000,0.0000,8.5254
4.6129,47.9129,4.1153,9.7314,0.0000
0.0000,0.0000,0.0000,0.0000,18.1505
0.0000,0.0000,0.0000,0.0000,10.7403
4.3334,46.2193,4.1189,16.3269,0.0000
0.0000,0.0000,0.0000,0.0000,14.1194
0.0000,0.0000,0.0000,0.0000,17.1894
4.1309,46.5793,4.1076,13.9468,0.0000
0.0000,0.0000,0.0000,0.0000,14.9714
0.0000,0.0000,0.0000,0.0000,13.7461
4.1297,46.5639,4.1220,16.7675,0.0000
0.0000,0.0000,0.0000,0.0000,13.0448
0.0000,0.0000,0.0000,0.0000,14.1639
5.0121,46.4783,4.0780,14.0736,0.0000
0.0000,0.0000,0.0000,0.0000,14.1328
0.0000,0.0000,0.0000,0.0000,13.9951
4.2898,46.6214,3.8310,14.9004,0.0000
0.0000,0.0000,0.0000,0.0000,9.9387
0.0000,0.0000,0.0000,0.0000,10.4807
4.1450,46.5461,4.1053,11.9801,0.0000
0.0000,0.0000,0.0000,0.0000,10.8562
0.0000,0.0000,0.0000,0.0000,10.6378
4.5360,46.4997,4.1019,12.1149,0.0000
0.0000,0.0000,0.0000,0.0000,13.3649
0.0000,0.0000,0.0000,0.0000,12.5038
4.1523,46.5273,4.0948,14.5738,0.0000
0.0000,0.0000,0.0000,0.0000,17.6702
0.0000,0.0000,0.0000,0.0000,12.1163
4.2576,46.6765,4.0532,13.2108,0.0000
0.0000,0.0000,0.0000,0.0000,12.9373
0.0000,0.0000,0.0000,0.0000,14.5015
4.2018,46.5014,4.0966,13.5061,0.0000
0.0000,0.0000,0.0000,0.0000,10.3955
0.0000,0.0000,0.0000,0.0000,11.6357
4.1322,46.5022,4.0835,12.0029,0.0000
0.0000,0.0000,0.0000,0.0000,13.4935
0.0000,0.0000,0.0000,0.0000,13.1297
4.9462,46.4928,4.1325,13.9565,0.0000
0.0000,0.0000,0.0000,0.0000,14.7389
0.0000,0.0000,0.0000,0.0000,13.0511
5.2525,46.4824,3.8053,15.3511,0.0000
0.0000,0.0000,0.0000,0.0000,12.4637
0.0000,0.0000,0.0000,0.0000,12.6503
4.1115,46.5747,4.1580,12.4344,0.0000
0.0000,0.0000,0.0000,0.0000,13.5393
