preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
5.5401,30.5345,0.4020,3.8385,28.6848
5.4722,30.1840,0.4027,3.8488,31.0923
5.4195,29.5811,0.4010,4.1616,27.4368
5.5068,29.0127,0.4025,4.3073,32.7708
5.4657,28.9440,0.4056,3.7897,32.3950
5.4455,28.7931,0.4063,3.6848,29.6704
5.4679,29.4785,0.4196,3.8018,31.8321
5.4085,30.2839,0.4034,4.0092,27.8949
5.5690,30.4859,0.4048,4.0202,26.5201
5.5282,30.3104,0.4046,3.9339,29.8229
5.4696,29.2387,0.3998,3.9485,27.9435
6.3860,32.4368,0.4427,4.0433,26.6910
5.5652,32.1522,0.4258,4.1015,28.7553
5.9791,29.5696,0.4191,3.6924,34.3398
5.5637,31.4763,0.4418,3.8753,28.6430
6.8815,30.3471,0.4158,3.6504,27.7052
5.6705,29.5897,0.4025,3.8230,27.5143
5.4848,30.0539,0.4940,4.0772,24.8901
5.5146,29.8078,0.4172,3.7050,26.5553
6.2485,28.7158,0.4034,3.6156,33.0167
5.5115,28.9750,0.4079,3.5186,24.5870
5.4002,28.2888,0.4044,3.5803,32.3263
6.3910,29.2935,0.4120,3.4893,32.4142
5.4862,28.2817,0.4046,3.6356,25.1918
5.4491,28.1441,0.4053,3.6342,26.3673
5.5196,28.1632,0.4029,3.5739,31.3404
