preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
5.7423,31.0509,0.4551,2.6286,26.1231
5.7745,30.9715,0.4551,2.8443,28.9545
5.7671,30.8311,0.4604,3.0944,32.8470
5.8758,30.8518,0.4549,2.9111,30.9063
5.7957,31.5528,0.4556,2.8992,30.2967
7.3941,31.2703,0.4599,2.9588,29.9170
5.7194,30.0417,0.4561,2.8679,30.9149
5.8310,32.0961,0.4847,3.1497,30.4384
7.2889,30.2403,0.4423,3.0279,30.0006
6.4280,29.4528,0.4392,2.7921,29.8879
5.6283,29.4704,0.4411,2.7649,29.6952
5.5745,30.1850,0.4506,2.7919,32.9981
5.6088,29.4845,0.4361,2.8422,29.6284
5.6763,30.3915,0.4554,2.9068,28.5701
5.5633,31.0550,0.5596,3.3600,35.4622
5.6539,30.0164,0.4811,2.9714,31.8772
5.6174,29.5818,0.4385,2.9023,29.4601
5.6167,28.7793,0.4377,2.8582,33.3082
6.6230,29.8238,0.4711,2.8694,32.2127
5.6705,30.0701,0.4568,3.1652,29.6373
5.6190,29.9437,0.4582,2.9604,34.0186
5.6484,29.8958,0.4578,2.8858,26.1123
5.6870,29.9349,0.4580,2.8431,28.0770
5.8227,30.7336,0.4597,2.9321,32.0520
5.7440,32.8903,0.4778,3.1464,29.7415
5.6238,29.6855,0.4389,3.2454,30.0064
5.5978,29.4919,0.4499,3.0978,29.3626
5.6524,30.3328,0.4408,3.1314,29.4425
5.8510,30.5257,0.4697,3.1576,31.9960
5.7101,27.9281,0.4392,2.7087,29.2139
5.6026,30.2527,0.4404,3.0148,24.6895
5.6896,31.6448,0.4568,3.2043,37.0044
5.7545,31.6324,0.4563,3.1796,32.9772
5.8305,31.8782,0.4566,3.2015,32.6332
5.7013,30.2651,0.4392,3.1188,27.4757
5.6689,30.2143,0.4363,3.1044,30.5761
5.6770,30.2961,0.4389,3.0999,29.4881
5.6939,30.3385,0.4370,3.1848,27.3457
5.7969,31.2006,0.4549,2.9342,34.6133
5.6098,31.1220,0.4416,3.0892,30.7375
5.7280,30.3211,0.4380,3.2854,28.2275
7.1802,32.3637,0.4783,3.1652,32.8126
5.8146,32.3174,0.4582,3.0379,34.3719
5.9059,34.3068,0.4573,3.8018,30.5283
5.6586,32.5563,0.4387,3.7804,30.5660
5.6126,32.0919,0.4241,3.5791,28.2922
7.8819,33.9541,0.4251,3.7842,29.9547
6.3484,31.0705,0.4101,3.5985,27.5726
6.4688,28.4269,0.6578,3.8562,32.5904
