Preprocessing,Inference,Postprocessing,Tracking,OpFlow
4.1923,46.6877,5.5199,0.8358,0.0000
4.1899,46.7365,5.4050,0.8014,0.0000
4.0576,46.5029,5.8433,0.8430,0.0000
4.2279,46.5899,5.5671,0.8337,0.0000
4.1729,46.8391,4.4218,0.8288,0.0000
4.1825,46.4834,4.5221,0.8175,0.0000
4.1234,46.6885,4.5240,0.8619,0.0000
4.1332,46.5731,4.5303,0.8191,0.0000
4.1900,46.5285,4.5369,0.8413,0.0000
4.1367,46.5789,4.5568,0.8861,0.0000
4.4479,47.6287,4.5479,0.8332,0.0000
4.1207,46.4583,4.5781,0.8636,0.0000
4.1176,46.5201,4.2365,0.8345,0.0000
4.1344,46.5091,4.3652,0.8986,0.0000
4.1201,46.7635,4.2847,0.8957,0.0000
4.1972,46.6179,4.2656,0.9242,0.0000
4.1255,46.6006,4.3094,0.9239,0.0000
4.1428,46.5526,4.2548,0.8333,0.0000
4.1410,46.5820,4.1964,0.8603,0.0000
4.1252,46.5755,4.7564,1.0522,0.0000
4.1278,46.5471,4.2515,0.9355,0.0000
4.2354,46.6310,4.2250,0.8802,0.0000
4.2937,46.7604,3.9312,0.8471,0.0000
4.1522,46.5641,4.1613,0.8867,0.0000
4.1363,46.6528,4.8220,1.1989,0.0000
4.2002,46.6606,4.1981,0.8464,0.0000
4.2918,46.5210,3.9336,0.8689,0.0000
4.1842,46.5870,4.2350,0.9327,0.0000
4.1320,46.6622,4.3785,0.9034,0.0000
4.3096,46.6187,4.2610,0.8920,0.0000
4.2561,46.6524,3.9787,0.9219,0.0000
4.1814,46.5564,4.1945,0.8794,0.0000
4.1379,46.6576,4.3173,0.8824,0.0000
4.3374,46.6094,4.1805,0.9153,0.0000
4.3014,46.5645,3.9225,0.9266,0.0000
4.1655,46.6287,4.1947,0.9808,0.0000
4.1568,46.5538,4.3125,0.9041,0.0000
4.5394,46.6715,4.2013,0.8708,0.0000
4.2699,46.5479,3.8334,0.9549,0.0000
4.2018,46.5996,4.0630,0.8527,0.0000
4.1907,46.6198,4.2644,0.9282,0.0000
