frame_number,prep_ms,inference_ms,post_ms,tracking_ms,opflow_ms
1,40.2520,119.6895,54.8418,0.0508,0.0000
2,3.6680,108.6287,4.3524,0.0939,0.0000
3,3.5359,108.5789,4.7575,0.0870,0.0000
4,3.5201,108.5759,4.6473,0.0905,0.0000
5,3.5450,108.5538,5.1566,0.0997,0.0000
6,3.5645,108.4830,5.1323,0.1111,0.0000
7,3.6157,108.6586,5.6552,0.1257,0.0000
8,3.7338,108.6102,5.8312,0.1283,0.0000
9,3.5542,108.6375,4.2827,0.1447,0.0000
10,3.5110,108.5263,4.4887,0.1351,0.0000
11,4.5347,108.6154,4.3141,0.1278,0.0000
12,3.6285,108.5636,4.3932,0.1268,0.0000
13,3.5850,108.7262,4.3269,0.1264,0.0000
14,3.7670,108.6838,4.3989,0.1129,0.0000
15,3.5681,108.6599,4.1571,0.1230,0.0000
16,4.0519,108.6125,4.1167,0.1158,0.0000
17,3.6527,108.5875,4.1607,0.1793,0.0000
18,3.7602,108.5568,3.9564,0.1165,0.0000
19,3.5527,108.3917,4.0502,0.1226,0.0000
20,4.0183,108.4250,4.1187,0.1184,0.0000
21,3.6236,108.6206,3.9859,0.1013,0.0000
22,3.7889,108.6966,4.0120,0.1102,0.0000
23,3.5223,108.5713,4.0085,0.1136,0.0000
24,3.7723,108.3998,4.0724,0.1225,0.0000
25,3.6250,108.7522,4.0619,0.1380,0.0000
26,3.7763,108.4839,4.0352,0.1023,0.0000
27,3.5396,108.4813,4.0269,0.1073,0.0000
28,3.7903,108.5546,3.9184,0.0941,0.0000
29,3.6125,108.7490,3.8189,0.1106,0.0000
30,3.7500,108.5144,3.9592,0.1288,0.0000
31,3.5273,108.5468,4.0702,0.1053,0.0000
32,3.7610,108.6911,4.0383,0.1159,0.0000
33,3.6665,108.6582,4.1611,0.1380,0.0000
34,3.7265,108.2333,4.0857,0.1182,0.0000
35,3.5203,108.6697,4.1479,0.1331,0.0000
36,4.1947,108.5213,4.1961,0.1745,0.0000
37,3.6548,108.4945,4.2632,0.1709,0.0000
38,3.7262,108.4861,4.0951,0.1587,0.0000
39,3.5625,108.3137,4.1779,0.1456,0.0000
40,4.2461,108.5439,4.1700,0.1748,0.0000
41,3.6394,108.4880,4.2829,0.1590,0.0000
42,3.7730,108.5743,3.9432,0.1895,0.0000
43,3.5251,108.3748,4.0076,0.1602,0.0000
44,3.7087,109.1114,3.9065,0.1715,0.0000
45,3.6011,108.8326,3.9908,0.1759,0.0000
46,3.7349,108.5691,3.8945,0.1500,0.0000
47,3.5105,108.5143,4.4880,0.1335,0.0000
48,3.7177,108.6153,3.8732,0.1427,0.0000
49,3.6405,108.5915,4.0197,0.1497,0.0000
50,3.7716,108.4080,3.9837,0.1512,0.0000
51,3.5448,108.4714,3.9517,0.1522,0.0000
52,3.9364,108.5042,3.8951,0.1812,0.0000
53,3.5900,108.7621,3.7352,0.1586,0.0000
54,3.7823,108.3321,3.8878,0.1532,0.0000
55,3.5621,108.3456,3.9905,0.1630,0.0000
56,4.4165,108.6521,3.9281,0.1737,0.0000
57,3.6520,108.5947,3.9068,0.2001,0.0000
58,3.7863,108.5215,3.8815,0.1711,0.0000
59,3.6888,108.4246,3.9165,0.1707,0.0000
60,3.9426,108.5654,3.9061,0.1504,0.0000
61,3.6378,108.3998,3.9791,0.1541,0.0000
62,3.7451,108.4243,3.8971,0.1395,0.0000
63,3.4812,108.6181,3.8919,0.1682,0.0000
64,4.7547,108.7219,3.9794,0.1765,0.0000
65,3.6307,108.5655,3.7302,0.1793,0.0000
66,3.7915,108.6637,3.9048,0.1567,0.0000
67,3.5179,108.4675,3.9297,0.1556,0.0000
68,4.5219,109.0804,4.3324,0.1580,0.0000
69,3.7275,108.5221,3.7382,0.1610,0.0000
70,3.9605,109.1215,3.9945,0.1961,0.0000
71,3.5946,109.0795,4.0712,0.1689,0.0000
72,4.1058,108.6169,4.0887,0.1560,0.0000
73,3.6681,108.7915,3.9908,0.1888,0.0000
74,4.0288,108.5809,4.0568,0.1768,0.0000
75,3.5906,108.4438,3.9497,0.1790,0.0000
76,4.5516,109.0951,4.1419,0.1713,0.0000
77,3.6055,109.0640,3.8121,0.1772,0.0000
78,4.0372,109.1115,4.0239,0.2144,0.0000
79,3.6367,109.1340,4.0558,0.1781,0.0000
80,4.3730,108.4010,4.1167,0.1643,0.0000
81,3.6283,109.2553,3.7697,0.1766,0.0000
82,4.0160,109.2583,4.1614,0.1621,0.0000
83,3.5725,109.3458,4.0410,0.1530,0.0000
84,5.2430,108.5534,4.0265,0.1503,0.0000
85,3.6121,109.4014,4.0455,0.1608,0.0000
86,3.9698,109.3472,4.0555,0.1574,0.0000
87,3.5801,109.2804,4.0389,0.1618,0.0000
88,4.7871,109.3031,4.0949,0.1686,0.0000
89,3.6229,108.4575,3.9524,0.1573,0.0000
90,4.0144,108.6177,4.1696,0.1724,0.0000
91,3.5677,109.2908,4.0656,0.1711,0.0000
92,4.0218,109.2823,4.2076,0.2043,0.0000
93,3.5909,109.4401,4.0351,0.1854,0.0000
94,3.9693,109.2050,4.0948,0.1579,0.0000
95,3.6231,109.3633,4.5287,0.1343,0.0000
96,4.0702,109.2763,4.1240,0.1675,0.0000
97,3.6147,109.2599,3.7917,0.1402,0.0000
98,3.9854,109.3939,4.1072,0.1716,0.0000
99,3.5636,109.2241,3.9973,0.1576,0.0000
100,4.1234,108.5367,4.0291,0.1810,0.0000
101,3.7474,109.6031,4.0472,0.1714,0.0000
102,3.9831,109.6514,4.0615,0.1535,0.0000
103,3.5842,109.2231,4.0695,0.1405,0.0000
104,4.3347,109.3359,4.0874,0.1434,0.0000
105,3.7033,109.4524,4.0587,0.1441,0.0000
106,4.0786,109.0922,4.1078,0.1551,0.0000
107,3.5884,109.3068,4.0573,0.1388,0.0000
108,4.4057,109.3114,4.1180,0.1611,0.0000
109,3.6692,109.3247,4.0247,0.1525,0.0000
110,3.9948,109.3709,4.0320,0.1446,0.0000
111,3.5621,109.2928,4.0452,0.1453,0.0000
112,4.4903,109.2662,4.1279,0.1390,0.0000
113,3.6322,109.3412,3.9974,0.1532,0.0000
114,4.0024,109.3443,4.0848,0.1438,0.0000
115,3.5588,109.2146,3.9893,0.1329,0.0000
116,4.2955,109.4860,3.8143,0.1239,0.0000
117,3.6347,109.2497,3.8778,0.1370,0.0000
118,3.8586,109.2538,4.0264,0.1245,0.0000
119,3.5824,109.3578,4.0156,0.1430,0.0000
120,4.4985,109.1708,4.1582,0.1359,0.0000
121,3.6827,109.2000,3.9317,0.1342,0.0000
122,3.9993,109.1759,4.0826,0.1433,0.0000
123,3.6292,109.3871,4.0630,0.1783,0.0000
124,4.3190,109.2636,4.0596,0.1409,0.0000
125,3.6374,109.1442,3.7893,0.1536,0.0000
126,3.8554,109.2001,4.1059,0.1464,0.0000
127,3.6405,109.1775,4.0238,0.1361,0.0000
128,3.9799,109.3820,4.0768,0.1455,0.0000
129,3.6361,109.6515,3.7912,0.1511,0.0000
130,3.9183,109.1454,4.0954,0.1508,0.0000
131,3.5903,110.0594,4.0454,0.1423,0.0000
132,4.3360,109.2462,4.1029,0.1343,0.0000
133,3.6677,109.3839,4.0800,0.1548,0.0000
134,3.8472,109.3289,4.1305,0.1840,0.0000
135,3.6015,109.3932,4.0505,0.1539,0.0000
136,4.1875,109.3801,4.2039,0.1425,0.0000
137,3.6249,109.4742,3.9552,0.1392,0.0000
138,3.8563,109.3443,4.0782,0.1307,0.0000
139,3.5633,109.2904,4.0048,0.1237,0.0000
140,4.4240,109.3287,4.0992,0.1327,0.0000
141,3.6394,109.3550,3.9005,0.1402,0.0000
142,3.9211,109.6117,4.1143,0.1248,0.0000
143,3.6282,109.4959,4.0535,0.1429,0.0000
144,4.3335,109.2274,4.1250,0.1481,0.0000
145,3.6532,109.2672,3.7894,0.1481,0.0000
146,4.0149,109.2623,4.0079,0.1297,0.0000
147,3.6505,109.3115,4.0481,0.1225,0.0000
148,4.3939,109.2808,4.1582,0.1270,0.0000
149,3.7240,109.5358,3.8765,0.1272,0.0000
150,4.0760,109.4033,4.0651,0.1346,0.0000
151,3.5928,109.2931,4.0041,0.1590,0.0000
152,4.2198,109.2507,4.0644,0.1521,0.0000
153,3.6487,109.3090,4.0462,0.1390,0.0000
154,3.9882,109.4369,4.0191,0.1475,0.0000
155,3.6143,109.5004,4.0657,0.1379,0.0000
156,4.4587,109.3108,4.1265,0.1462,0.0000
157,3.7379,110.0786,4.0153,0.1519,0.0000
158,3.9799,109.4622,4.1386,0.1498,0.0000
159,3.5960,109.3431,4.0642,0.1534,0.0000
160,4.6130,109.6125,4.0895,0.1406,0.0000
161,3.6493,110.0218,4.0619,0.1451,0.0000
162,3.9362,109.3278,4.0739,0.1498,0.0000
163,3.6066,109.5439,4.0169,0.1349,0.0000
164,4.4625,109.3594,4.1155,0.1397,0.0000
165,3.6116,109.3153,4.0518,0.1532,0.0000
166,3.9387,109.3194,4.1257,0.1391,0.0000
167,3.6263,110.1047,4.0778,0.1406,0.0000
168,4.3248,109.4620,4.1453,0.1340,0.0000
169,3.6478,109.7533,3.9275,0.1717,0.0000
170,3.9169,110.3116,4.0465,0.1475,0.0000
171,3.6060,109.3022,4.0051,0.1332,0.0000
172,4.3137,110.2502,4.0679,0.1213,0.0000
173,3.6200,110.1589,4.0217,0.1219,0.0000
174,3.9385,109.3346,3.9703,0.1326,0.0000
175,3.5847,109.4825,3.9944,0.1454,0.0000
176,4.0394,110.2547,4.1029,0.1250,0.0000
177,3.7235,109.8758,3.9183,0.1599,0.0000
178,3.7872,109.3288,3.9878,0.1567,0.0000
179,3.5236,109.1648,4.4540,0.1366,0.0000
180,3.8450,110.1141,4.0044,0.1448,0.0000
181,3.6160,109.7218,3.7447,0.1364,0.0000
182,3.7569,110.1398,4.0843,0.1241,0.0000
183,3.5208,109.3168,3.9142,0.1243,0.0000
184,3.8874,110.0591,4.1362,0.1280,0.0000
185,4.1278,110.4330,3.7979,0.1659,0.0000
186,4.0113,109.2277,4.1153,0.1420,0.0000
187,3.5894,110.1570,4.0634,0.1349,0.0000
188,4.2053,110.0428,4.1526,0.1302,0.0000
189,3.7558,110.2530,3.7878,0.1348,0.0000
190,4.1022,108.6609,4.1446,0.1298,0.0000
191,3.7854,109.3219,4.5994,0.1136,0.0000
192,4.8787,109.3943,4.0862,0.1140,0.0000
193,3.7365,109.2417,3.6889,0.1534,0.0000
194,4.1343,109.3916,3.9504,0.1352,0.0000
195,3.7850,110.0597,4.0501,0.1131,0.0000
196,4.4516,109.2589,4.0217,0.1114,0.0000
197,3.7074,110.2611,3.8127,0.1170,0.0000
198,4.1342,109.4631,3.8764,0.1162,0.0000
199,3.8551,109.4834,4.5771,0.1358,0.0000
200,4.6573,109.4360,4.0816,0.1139,0.0000
201,3.6447,109.2563,3.8090,0.1587,0.0000
202,4.1809,110.0214,3.9286,0.1346,0.0000
203,3.7646,109.9579,4.1199,0.1287,0.0000
204,4.7906,109.3887,4.0140,0.1274,0.0000
205,3.7239,110.1298,3.7184,0.1447,0.0000
206,4.1393,110.1845,3.9634,0.1441,0.0000
207,3.7535,110.0849,4.1420,0.1477,0.0000
208,4.4617,109.3930,4.0908,0.1366,0.0000
209,3.7378,109.3716,3.7284,0.1648,0.0000
210,4.1250,110.2385,3.8194,0.1519,0.0000
211,3.7530,109.2664,4.0203,0.1254,0.0000
212,4.5311,109.5155,4.0081,0.1288,0.0000
213,3.6699,109.4460,3.9419,0.1386,0.0000
214,4.1527,109.3975,3.8540,0.1321,0.0000
215,3.7976,109.4717,4.0573,0.1329,0.0000
216,4.7708,110.1707,4.0146,0.1252,0.0000
217,3.7029,110.0057,3.9124,0.2296,0.0000
218,4.1989,110.2525,3.8679,0.1392,0.0000
219,3.7873,111.0175,4.2041,0.1264,0.0000
220,4.5788,110.1473,3.9526,0.1277,0.0000
221,3.6723,110.3279,3.8190,0.1309,0.0000
222,4.1631,110.1339,4.0957,0.1312,0.0000
223,3.7479,110.1624,5.5730,0.1296,0.0000
224,4.6320,110.2117,3.9413,0.1439,0.0000
225,3.6763,110.1280,3.8110,0.1770,0.0000
226,4.1545,109.4401,4.1541,0.1542,0.0000
227,3.7141,109.4105,4.0745,0.1952,0.0000
228,5.0352,110.0446,3.8954,0.1640,0.0000
229,3.9646,111.1186,3.9666,0.1507,0.0000
230,4.1587,110.0709,3.9924,0.1764,0.0000
231,3.8023,110.2756,4.2111,0.1808,0.0000
232,4.4381,110.1229,4.1980,0.1886,0.0000
233,3.7408,110.2244,4.0076,0.1923,0.0000
234,4.1217,109.6052,4.1090,0.2436,0.0000
235,3.8477,109.5465,4.2322,0.1953,0.0000
236,4.7577,111.0351,4.3436,0.2189,0.0000
237,3.7157,110.3061,4.0557,0.2493,0.0000
238,4.1369,109.5394,4.0332,0.2309,0.0000
239,3.7816,109.3402,4.2745,0.1963,0.0000
240,4.1836,110.1306,4.1494,0.2032,0.0000
241,3.7041,110.0529,4.0930,0.1919,0.0000
242,4.1218,109.6315,3.9937,0.2006,0.0000
243,3.7784,110.1637,4.7005,0.2120,0.0000
244,4.1287,110.0706,4.2170,0.2222,0.0000
245,3.7705,110.6222,4.0865,0.2269,0.0000
246,4.1448,109.9011,4.0087,0.2611,0.0000
247,3.8411,109.5227,4.3400,1.2759,0.0000
248,4.0708,110.5708,3.9948,0.2376,0.0000
249,3.8419,110.1824,3.8128,0.2430,0.0000
250,4.1584,110.1779,4.0092,0.2515,0.0000
251,3.8138,109.8795,4.2278,0.2648,0.0000
252,4.5900,110.0920,4.0251,0.2048,0.0000
253,3.7202,110.7310,4.1095,0.2173,0.0000
254,4.1075,110.1766,3.9915,0.2316,0.0000
255,3.7445,110.2345,4.7710,0.2106,0.0000
256,4.1685,109.7786,4.0282,0.2318,0.0000
257,3.7728,110.5317,3.9465,0.2290,0.0000
258,4.1545,109.9797,3.9732,0.2135,0.0000
259,3.7417,110.2622,4.1228,0.2168,0.0000
260,4.6519,110.3855,4.0021,0.2000,0.0000
261,3.7061,110.4391,3.9006,0.2123,0.0000
262,4.1490,110.0548,3.8473,0.2173,0.0000
263,3.8850,110.0406,4.0850,0.2202,0.0000
264,4.6174,110.3955,3.9032,0.2149,0.0000
265,3.7061,110.5833,3.6973,0.1891,0.0000
266,4.1297,110.5282,4.0672,0.2407,0.0000
267,3.8252,110.2992,4.0945,0.2021,0.0000
268,4.1568,110.4878,3.8508,0.2030,0.0000
269,3.7504,109.4346,4.0070,0.2181,0.0000
270,4.0306,110.5695,4.0982,0.2001,0.0000
271,3.7523,110.2515,4.1366,0.2016,0.0000
272,4.7891,110.3927,3.9929,0.2026,0.0000
273,3.7765,110.9353,3.9347,0.2559,0.0000
274,4.0020,109.4523,4.0558,0.1869,0.0000
275,3.7634,110.5041,4.2124,0.2068,0.0000
276,4.5879,110.3443,4.0387,0.2089,0.0000
277,3.7751,109.4249,4.1116,0.2193,0.0000
278,4.1194,110.5737,4.1754,0.2127,0.0000
279,3.7419,110.7179,4.1384,0.2102,0.0000
280,4.4620,110.3547,3.9680,0.2413,0.0000
281,3.7126,110.5656,3.8295,0.2072,0.0000
282,4.1685,110.5706,4.0018,0.2050,0.0000
283,3.7418,110.7271,4.5714,0.1917,0.0000
284,4.1963,110.8894,4.0143,0.2124,0.0000
285,3.7978,110.6683,3.7496,0.2064,0.0000
286,4.1262,110.5796,3.9513,0.2502,0.0000
287,3.7635,110.6377,3.9936,0.2384,0.0000
288,4.4705,110.6291,3.9501,0.2537,0.0000
289,3.7824,111.3724,4.2200,0.3088,0.0000
290,4.0642,110.5043,4.2130,0.2434,0.0000
291,3.7732,110.3711,4.8269,0.2288,0.0000
