preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
7.4194,42.0548,17.8553,6.2590,67.4115
7.5283,42.3670,16.8521,6.0701,64.1825
8.7966,35.6492,12.6248,5.5761,67.3533
10.9831,43.5352,16.1414,5.9977,55.3426
7.6038,41.7628,15.8302,5.8844,63.9188
7.5297,42.2165,17.8968,5.9690,59.3880
7.4549,44.4132,18.9216,6.3989,47.8114
8.3125,37.6054,15.5959,5.9738,47.5124
7.8530,42.2309,16.1600,6.5362,58.2199
7.5030,41.3676,17.0793,6.0811,74.9690
7.4425,42.2579,13.9415,5.7869,58.5712
7.4279,41.8561,15.7084,6.1307,54.8769
7.4977,43.0961,12.7362,5.8625,63.8075
7.4402,41.8810,14.1905,5.6257,50.8626
7.4580,41.7102,14.6593,5.5649,51.6076
7.7553,41.7563,13.6946,5.8048,51.9890
7.6026,41.7388,13.3461,5.8055,51.5070
10.5070,42.6166,15.5621,6.1679,47.1464
10.2215,40.9443,14.8367,5.7893,55.2082
7.6893,41.8147,16.6285,5.9118,65.9557
20.4600,41.8450,17.5256,6.3589,77.8105
8.6666,43.7963,16.2345,5.9073,65.3953
8.2688,42.1228,16.8702,5.9571,67.7811
8.2494,41.2767,16.2608,5.7330,74.4801
7.4680,41.5621,14.8978,5.5988,65.4733
7.3262,41.5125,14.4296,5.7578,67.9739
8.7833,43.1291,15.7331,5.8703,49.4842
7.4597,41.4671,14.6184,5.6467,42.8081
7.4125,41.5488,14.0816,5.8854,65.0717
7.8241,41.9163,14.6407,5.7650,64.8539
7.7172,41.4305,12.5716,5.5547,75.7260
7.4906,41.8504,14.0905,5.6605,72.9080
7.5852,42.0326,14.0717,5.4646,67.8459
10.7323,43.1894,15.3054,5.6152,75.1577
7.5639,41.4485,14.7169,5.5377,61.7330
7.3214,41.8620,13.3887,5.8117,77.6162
7.4401,41.5286,12.5458,5.4324,72.0531
8.9421,43.3779,13.8442,5.6100,65.2258
8.3617,41.7442,14.5083,6.2685,71.1173
9.2331,42.4407,13.9860,5.4467,73.8935
7.3837,43.2906,14.1797,5.4963,66.6497
7.5898,41.5286,13.8476,5.2426,49.7914
7.4056,43.3162,12.7881,5.2414,58.2487
7.4990,42.2873,13.3987,5.1954,48.6196
7.5610,41.6623,12.6854,4.9467,53.1446
7.4539,42.0868,15.4572,5.4870,69.5151
7.4514,41.7301,14.8982,5.2545,54.6658
7.4596,41.5938,14.1703,5.2800,64.4963
7.2401,42.3986,15.0413,5.2269,65.0931
7.4451,41.4693,14.1630,5.3220,68.6006
7.5162,44.2461,14.2926,5.7113,71.2338
9.2588,41.5275,13.7938,5.2621,70.1578
8.7514,41.7915,14.5013,5.4359,75.5199
7.9785,41.3153,14.0774,5.4214,73.2074
7.4469,41.6454,15.3445,5.2702,79.2930
7.4175,42.7322,14.3336,5.7340,76.7827
7.4512,43.3884,14.2779,5.5935,66.2890
7.6098,41.4790,13.3313,5.5015,62.0784
7.3089,41.7445,13.6857,5.6002,72.6607
