frame_number,prep_ms,inference_ms,post_ms,tracking_ms,opflow_ms
1,44.1931,57.3449,55.9611,0.0454,0.0000
2,3.8461,46.3665,4.5607,0.0922,0.0000
3,3.7561,46.3021,4.6509,0.0855,0.0000
4,3.6596,46.3966,4.3819,0.0785,0.0000
5,3.6373,46.3481,4.9029,0.0929,0.0000
6,3.5672,46.3268,4.9381,0.1003,0.0000
7,3.5079,46.2819,5.2541,0.1045,0.0000
8,3.5354,46.2177,5.2302,0.0990,0.0000
9,3.4963,46.3215,5.0163,0.0986,0.0000
10,3.4887,46.2537,4.2456,0.1101,0.0000
11,3.5004,46.2327,4.3082,0.1232,0.0000
12,5.1927,46.4950,4.5206,0.1661,0.0000
13,3.8704,46.1227,4.5653,0.1220,0.0000
14,3.7603,46.3173,4.3710,0.1217,0.0000
15,3.8097,46.3785,4.2237,0.1462,0.0000
16,3.6351,46.2738,4.3337,0.1136,0.0000
17,3.5784,46.2463,4.1104,0.1251,0.0000
18,4.1121,46.6858,4.1442,0.1103,0.0000
19,3.7738,46.3340,4.0903,0.1131,0.0000
20,3.7590,46.5017,4.0364,0.1222,0.0000
21,3.6248,46.3605,3.9604,0.1075,0.0000
22,3.6047,46.3482,3.9133,0.1029,0.0000
23,4.2775,47.1567,4.2318,0.1353,0.0000
24,4.1377,46.4027,3.9001,0.1197,0.0000
25,3.7979,46.4457,4.0312,0.1024,0.0000
26,3.7918,46.3956,4.2837,0.0893,0.0000
27,4.2028,46.4362,4.0691,0.0986,0.0000
28,3.8256,46.3322,4.0453,0.0977,0.0000
29,3.7805,46.2290,4.2221,0.0938,0.0000
30,4.8485,46.3128,4.1471,0.1055,0.0000
31,3.8102,46.2673,4.0586,0.1058,0.0000
32,3.8236,46.1947,4.1157,0.1462,0.0000
33,3.6394,46.2773,4.0244,0.1170,0.0000
34,3.5860,46.2491,4.0037,0.1219,0.0000
35,3.6352,46.3732,4.0261,0.1206,0.0000
36,8.5318,46.3199,4.4740,0.1500,0.0000
37,3.8562,46.3838,4.2285,0.1383,0.0000
38,3.7680,46.2893,4.2689,0.1255,0.0000
39,3.6760,46.3640,4.0360,0.1212,0.0000
40,3.6329,46.2461,4.0518,0.1335,0.0000
41,3.6745,46.3152,4.1066,0.1522,0.0000
42,4.1740,46.2913,4.1233,0.1372,0.0000
43,3.8256,46.1959,4.0462,0.1108,0.0000
44,3.7876,46.2632,4.2808,0.1121,0.0000
45,4.2366,46.5190,4.0660,0.1111,0.0000
46,3.8255,46.3773,4.0227,0.1106,0.0000
47,3.8977,46.3095,4.0134,0.1138,0.0000
48,4.2065,46.3366,4.0210,0.1158,0.0000
49,3.8229,46.3829,4.2488,0.1117,0.0000
50,4.1590,46.3970,4.2346,0.1280,0.0000
51,3.9890,46.1372,4.1012,0.1355,0.0000
52,4.1614,46.3779,4.1139,0.1323,0.0000
53,3.8158,46.3230,4.2497,0.1249,0.0000
54,4.1594,46.2871,4.1630,0.1107,0.0000
55,3.9920,46.1372,3.9283,0.1608,0.0000
56,4.2015,46.1626,3.9548,0.1626,0.0000
57,3.8516,46.1922,4.0889,0.1356,0.0000
58,4.1985,46.3892,3.9460,0.1432,0.0000
59,3.9248,46.1705,3.8457,0.1245,0.0000
60,4.1475,46.1890,3.9580,0.1177,0.0000
61,3.8631,46.3218,4.0852,0.1219,0.0000
62,4.4172,46.2598,4.0143,0.1204,0.0000
63,3.9423,46.3399,3.9445,0.1337,0.0000
64,4.1770,46.4671,3.8523,0.1402,0.0000
65,3.8315,46.2400,3.9936,0.1196,0.0000
66,4.2321,46.3950,3.9953,0.1219,0.0000
67,3.8875,46.4736,3.9858,0.1424,0.0000
68,4.1895,46.3159,3.9340,0.1309,0.0000
69,3.8480,46.4030,4.1143,0.1486,0.0000
70,4.0966,46.4030,3.8835,0.1418,0.0000
71,3.9574,46.2307,4.0111,0.1279,0.0000
