frame_number,prep_ms,inference_ms,post_ms,tracking_ms,opflow_ms
1,53.6816,126.6511,56.6157,0.0701,3.6686
2,0.0000,0.0000,0.0000,0.0236,5.4046
3,0.0000,0.0000,0.0000,0.0196,4.6510
4,0.0000,0.0000,0.0000,0.0200,4.8737
5,4.1886,109.2527,5.4402,0.1604,0.8841
6,0.0000,0.0000,0.0000,0.0203,5.1534
7,0.0000,0.0000,0.0000,0.0208,5.8018
8,0.0000,0.0000,0.0000,0.0208,5.7939
9,4.1216,110.3191,5.5871,0.1483,1.0378
10,0.0000,0.0000,0.0000,0.0219,5.9966
11,0.0000,0.0000,0.0000,0.0209,5.6007
12,0.0000,0.0000,0.0000,0.0217,5.5431
13,3.7701,110.3152,5.7169,0.1628,0.9219
14,0.0000,0.0000,0.0000,0.0230,7.7213
15,0.0000,0.0000,0.0000,0.0201,5.5798
16,0.0000,0.0000,0.0000,0.0219,5.4343
17,4.3870,110.5958,5.1973,0.1767,1.3560
18,0.0000,0.0000,0.0000,0.0212,7.5200
19,0.0000,0.0000,0.0000,0.0216,5.8434
20,0.0000,0.0000,0.0000,0.0202,5.6064
21,4.3587,109.9642,4.8020,0.1441,1.6090
22,0.0000,0.0000,0.0000,0.0244,6.9567
23,0.0000,0.0000,0.0000,0.0232,5.6633
24,0.0000,0.0000,0.0000,0.0219,5.9930
25,4.2061,109.3726,4.8654,0.1508,2.0199
26,0.0000,0.0000,0.0000,0.0225,7.6114
27,0.0000,0.0000,0.0000,0.0221,6.6104
28,0.0000,0.0000,0.0000,0.0219,6.4565
29,4.4502,111.0776,4.3529,0.1340,2.7244
30,0.0000,0.0000,0.0000,0.0221,7.0186
31,0.0000,0.0000,0.0000,0.0214,5.1764
32,0.0000,0.0000,0.0000,0.0221,5.4560
33,4.3755,109.7826,4.5568,0.1748,1.9333
34,0.0000,0.0000,0.0000,0.0215,5.7512
35,0.0000,0.0000,0.0000,0.0227,5.3802
36,0.0000,0.0000,0.0000,0.0221,5.2413
37,4.2572,111.1178,4.7605,0.1602,2.5867
38,0.0000,0.0000,0.0000,0.0186,5.2984
39,0.0000,0.0000,0.0000,0.0186,4.2622
40,0.0000,0.0000,0.0000,0.0199,4.0260
41,4.4017,110.5321,4.6854,0.1777,2.3699
42,0.0000,0.0000,0.0000,0.0160,4.2493
43,0.0000,0.0000,0.0000,0.0155,2.5964
44,0.0000,0.0000,0.0000,0.0160,3.2159
45,4.6606,111.7713,4.4404,0.1669,3.1752
46,0.0000,0.0000,0.0000,0.0150,6.2902
47,0.0000,0.0000,0.0000,0.0160,2.8870
48,0.0000,0.0000,0.0000,0.0152,2.9930
49,4.5096,110.6462,4.4275,0.1534,3.1781
50,0.0000,0.0000,0.0000,0.0190,7.2741
51,0.0000,0.0000,0.0000,0.0192,4.5476
52,0.0000,0.0000,0.0000,0.0200,5.9019
53,4.3747,110.4277,4.4255,0.2007,3.4875
54,0.0000,0.0000,0.0000,0.0154,5.4025
55,0.0000,0.0000,0.0000,0.0162,2.4290
56,0.0000,0.0000,0.0000,0.0164,2.7655
57,4.5232,109.8971,4.1951,0.1629,4.6567
58,0.0000,0.0000,0.0000,0.0166,8.5427
59,0.0000,0.0000,0.0000,0.0190,4.6043
60,0.0000,0.0000,0.0000,0.0174,4.0976
61,4.4455,110.9385,4.4445,0.2301,12.4395
62,0.0000,0.0000,0.0000,0.0191,7.4014
63,0.0000,0.0000,0.0000,0.0197,5.0981
64,0.0000,0.0000,0.0000,0.0190,4.4803
65,4.9894,113.7778,4.1677,0.1459,4.2271
66,0.0000,0.0000,0.0000,0.0181,7.6853
67,0.0000,0.0000,0.0000,0.0184,3.9487
68,0.0000,0.0000,0.0000,0.0196,5.3064
69,4.5294,110.7031,4.2562,0.1549,4.3275
70,0.0000,0.0000,0.0000,0.0188,7.1534
71,0.0000,0.0000,0.0000,0.0187,4.2673
72,0.0000,0.0000,0.0000,0.0190,4.6039
73,4.5825,111.2957,4.3215,0.1558,5.3253
74,0.0000,0.0000,0.0000,0.0184,8.3331
75,0.0000,0.0000,0.0000,0.0193,4.0004
76,0.0000,0.0000,0.0000,0.0192,4.0337
77,4.4270,110.4750,4.2127,0.1567,4.5197
78,0.0000,0.0000,0.0000,0.0216,7.2090
79,0.0000,0.0000,0.0000,0.0185,5.2383
80,0.0000,0.0000,0.0000,0.0196,4.8369
81,4.5338,111.8664,4.1157,0.1718,4.8857
82,0.0000,0.0000,0.0000,0.0211,7.2241
83,0.0000,0.0000,0.0000,0.0178,6.0743
84,0.0000,0.0000,0.0000,0.0194,4.2033
85,4.3979,110.3684,4.3549,0.1640,5.1426
86,0.0000,0.0000,0.0000,0.0206,10.3581
87,0.0000,0.0000,0.0000,0.0232,5.9221
88,0.0000,0.0000,0.0000,0.0220,5.5461
89,4.5348,110.7843,4.1741,0.1807,4.7620
90,0.0000,0.0000,0.0000,0.0229,8.2805
91,0.0000,0.0000,0.0000,0.0222,6.6088
92,0.0000,0.0000,0.0000,0.0237,7.3186
93,4.2895,109.2289,4.2372,0.1853,4.4007
94,0.0000,0.0000,0.0000,0.0278,8.8053
95,0.0000,0.0000,0.0000,0.0278,7.8315
96,0.0000,0.0000,0.0000,0.0270,8.4086
97,4.4711,110.2193,4.3162,0.1554,3.8115
98,0.0000,0.0000,0.0000,0.0231,5.8214
99,0.0000,0.0000,0.0000,0.0216,5.3485
100,0.0000,0.0000,0.0000,0.0198,4.7203
101,4.4794,110.4837,4.1285,0.1414,6.3320
102,0.0000,0.0000,0.0000,0.0177,5.2281
103,0.0000,0.0000,0.0000,0.0184,3.6769
104,0.0000,0.0000,0.0000,0.0178,4.3766
105,4.3383,109.7700,4.1517,0.1435,4.2378
106,0.0000,0.0000,0.0000,0.0227,5.1971
107,0.0000,0.0000,0.0000,0.0216,5.3505
108,0.0000,0.0000,0.0000,0.0220,5.0510
109,4.4494,110.9718,4.0694,0.1506,3.7160
110,0.0000,0.0000,0.0000,0.0225,5.3362
111,0.0000,0.0000,0.0000,0.0188,5.7882
112,0.0000,0.0000,0.0000,0.0197,3.9366
113,4.8276,110.7569,4.3319,0.1354,4.3864
114,0.0000,0.0000,0.0000,0.0228,6.6108
115,0.0000,0.0000,0.0000,0.0212,7.9944
116,0.0000,0.0000,0.0000,0.0166,6.6910
117,4.4058,110.2043,4.0747,0.1547,4.2216
118,0.0000,0.0000,0.0000,0.0178,5.4913
119,0.0000,0.0000,0.0000,0.0192,4.5665
120,0.0000,0.0000,0.0000,0.0184,4.2434
121,4.1237,110.4915,3.8625,0.1371,4.1762
122,0.0000,0.0000,0.0000,0.0217,5.3892
123,0.0000,0.0000,0.0000,0.0194,5.6862
124,0.0000,0.0000,0.0000,0.0191,4.1691
125,4.3834,110.5491,4.2998,0.1452,4.8942
126,0.0000,0.0000,0.0000,0.0215,5.1167
127,0.0000,0.0000,0.0000,0.0226,6.4777
128,0.0000,0.0000,0.0000,0.0212,5.2793
129,4.3210,109.9925,3.8942,0.1371,4.0509
130,0.0000,0.0000,0.0000,0.0206,5.2222
131,0.0000,0.0000,0.0000,0.0209,5.5536
132,0.0000,0.0000,0.0000,0.0222,5.3702
133,4.3339,110.0891,4.3048,0.1678,4.2593
134,0.0000,0.0000,0.0000,0.0222,5.9657
135,0.0000,0.0000,0.0000,0.0229,5.5341
136,0.0000,0.0000,0.0000,0.0221,6.1690
137,4.6080,110.6770,3.8965,0.1230,3.9442
138,0.0000,0.0000,0.0000,0.0218,5.7677
139,0.0000,0.0000,0.0000,0.0216,4.9819
140,0.0000,0.0000,0.0000,0.0219,5.4756
141,4.3911,110.3099,4.2944,0.1268,4.2523
142,0.0000,0.0000,0.0000,0.0228,4.7515
143,0.0000,0.0000,0.0000,0.0265,5.1392
144,0.0000,0.0000,0.0000,0.0220,5.5389
145,4.5486,111.1286,3.9285,0.1476,4.1818
146,0.0000,0.0000,0.0000,0.0221,5.4099
147,0.0000,0.0000,0.0000,0.0220,5.1959
148,0.0000,0.0000,0.0000,0.0219,5.4607
149,4.4549,110.7112,4.3139,0.1548,7.0743
150,0.0000,0.0000,0.0000,0.0218,7.0686
151,0.0000,0.0000,0.0000,0.0222,4.9535
152,0.0000,0.0000,0.0000,0.0225,5.5581
153,4.5191,110.3595,3.8362,0.1436,4.0181
154,0.0000,0.0000,0.0000,0.0222,5.3066
155,0.0000,0.0000,0.0000,0.0225,5.5471
156,0.0000,0.0000,0.0000,0.0223,4.8988
157,4.2417,110.0037,4.1598,0.1370,3.9502
158,0.0000,0.0000,0.0000,0.0178,5.5821
159,0.0000,0.0000,0.0000,0.0196,4.0135
160,0.0000,0.0000,0.0000,0.0154,4.1023
161,4.5089,110.2417,3.8387,0.1668,4.0116
162,0.0000,0.0000,0.0000,0.0229,6.4129
163,0.0000,0.0000,0.0000,0.0209,7.0738
164,0.0000,0.0000,0.0000,0.0212,5.2525
165,4.3081,110.2570,4.2973,0.1493,11.5770
166,0.0000,0.0000,0.0000,0.0233,8.1806
167,0.0000,0.0000,0.0000,0.0240,6.3617
168,0.0000,0.0000,0.0000,0.0244,7.0329
169,4.8149,111.7362,3.8062,0.1540,4.4480
170,0.0000,0.0000,0.0000,0.0262,7.4531
171,0.0000,0.0000,0.0000,0.0280,7.7292
172,0.0000,0.0000,0.0000,0.0275,7.4610
173,4.1954,109.7470,4.2065,0.1651,10.6722
174,0.0000,0.0000,0.0000,0.0280,7.5496
175,0.0000,0.0000,0.0000,0.0227,9.3372
176,0.0000,0.0000,0.0000,0.0255,6.5736
177,4.7885,111.2597,3.6960,0.1417,6.4186
178,0.0000,0.0000,0.0000,0.0226,8.9997
179,0.0000,0.0000,0.0000,0.0229,6.7423
180,0.0000,0.0000,0.0000,0.0231,6.4895
181,4.2105,110.0700,4.4336,0.1582,12.0986
182,0.0000,0.0000,0.0000,0.0191,7.5180
183,0.0000,0.0000,0.0000,0.0204,4.2063
184,0.0000,0.0000,0.0000,0.0207,4.0441
185,4.9984,113.6022,3.8024,0.1809,4.2531
186,0.0000,0.0000,0.0000,0.0277,7.5591
187,0.0000,0.0000,0.0000,0.0273,7.7413
188,0.0000,0.0000,0.0000,0.0288,7.5809
189,4.4462,110.2638,4.2752,0.1539,4.6223
190,0.0000,0.0000,0.0000,0.0297,8.1077
191,0.0000,0.0000,0.0000,0.0284,7.5176
192,0.0000,0.0000,0.0000,0.0297,7.7260
193,4.5746,110.2343,3.7891,0.1525,4.1219
194,0.0000,0.0000,0.0000,0.0286,7.6549
195,0.0000,0.0000,0.0000,0.0244,8.1146
196,0.0000,0.0000,0.0000,0.0248,6.4310
197,4.3168,110.0082,4.2948,0.1708,6.4420
198,0.0000,0.0000,0.0000,0.0244,8.2514
199,0.0000,0.0000,0.0000,0.0231,6.3337
200,0.0000,0.0000,0.0000,0.0248,6.5195
201,4.4302,109.7978,3.7682,0.1699,4.1735
202,0.0000,0.0000,0.0000,0.0228,7.6578
203,0.0000,0.0000,0.0000,0.0231,6.4419
204,0.0000,0.0000,0.0000,0.0234,8.2124
205,4.3550,110.3889,4.2163,0.1604,4.9387
206,0.0000,0.0000,0.0000,0.0225,8.1080
207,0.0000,0.0000,0.0000,0.0222,6.5400
208,0.0000,0.0000,0.0000,0.0235,6.3672
209,4.5059,110.1111,3.6891,0.1561,4.1300
210,0.0000,0.0000,0.0000,0.0260,7.6079
211,0.0000,0.0000,0.0000,0.0267,8.0808
212,0.0000,0.0000,0.0000,0.0295,9.5644
213,4.3475,109.8457,4.1914,0.1837,4.2569
214,0.0000,0.0000,0.0000,0.0216,8.1170
215,0.0000,0.0000,0.0000,0.0244,6.5242
216,0.0000,0.0000,0.0000,0.0243,8.5843
217,4.4207,110.8020,3.6520,0.1519,3.8246
218,0.0000,0.0000,0.0000,0.0239,8.4993
219,0.0000,0.0000,0.0000,0.0233,6.6812
220,0.0000,0.0000,0.0000,0.0230,8.1405
221,4.4041,110.0321,4.1838,0.1395,5.6109
222,0.0000,0.0000,0.0000,0.0226,7.9958
223,0.0000,0.0000,0.0000,0.0228,6.9603
224,0.0000,0.0000,0.0000,0.0225,6.8830
225,4.4644,109.7601,3.7058,0.1470,3.0526
226,0.0000,0.0000,0.0000,0.0238,7.3409
227,0.0000,0.0000,0.0000,0.0198,6.5144
228,0.0000,0.0000,0.0000,0.0212,5.5559
229,4.3191,110.0321,4.2694,0.1605,3.5419
230,0.0000,0.0000,0.0000,0.0226,7.1539
231,0.0000,0.0000,0.0000,0.0232,6.9307
232,0.0000,0.0000,0.0000,0.0222,7.2798
233,4.4146,109.9021,3.7486,0.2330,3.1332
234,0.0000,0.0000,0.0000,0.0273,10.0008
235,0.0000,0.0000,0.0000,0.0301,8.6440
236,0.0000,0.0000,0.0000,0.0284,7.9578
237,4.1765,109.8877,4.3841,0.2461,3.3633
238,0.0000,0.0000,0.0000,0.0210,6.6729
239,0.0000,0.0000,0.0000,0.0208,5.6753
240,0.0000,0.0000,0.0000,0.0196,5.8377
241,4.5964,110.4303,3.7675,0.1838,2.7866
242,0.0000,0.0000,0.0000,0.0234,6.7599
243,0.0000,0.0000,0.0000,0.0234,6.6358
244,0.0000,0.0000,0.0000,0.0206,7.0998
245,4.5509,110.2614,4.8109,0.2057,4.0402
246,0.0000,0.0000,0.0000,0.0225,6.0695
247,0.0000,0.0000,0.0000,0.0216,6.7050
248,0.0000,0.0000,0.0000,0.0233,6.6423
249,4.4297,110.1222,3.7550,0.2315,3.5420
250,0.0000,0.0000,0.0000,0.0281,10.5446
251,0.0000,0.0000,0.0000,0.0295,8.9953
252,0.0000,0.0000,0.0000,0.0248,8.6458
253,4.2576,110.2839,4.3197,0.2278,3.7969
254,0.0000,0.0000,0.0000,0.0294,11.2623
255,0.0000,0.0000,0.0000,0.0270,10.0182
256,0.0000,0.0000,0.0000,0.0280,8.2539
257,4.4015,109.3391,3.8318,0.2345,2.7172
258,0.0000,0.0000,0.0000,0.0280,10.5073
259,0.0000,0.0000,0.0000,0.0281,8.5171
260,0.0000,0.0000,0.0000,0.0293,8.4169
261,4.1916,109.5635,4.1969,0.2264,9.0262
262,0.0000,0.0000,0.0000,0.0210,8.5974
263,0.0000,0.0000,0.0000,0.0260,5.9605
264,0.0000,0.0000,0.0000,0.0218,6.3116
265,4.5007,110.3559,3.6654,0.1794,2.9294
266,0.0000,0.0000,0.0000,0.0190,7.6043
267,0.0000,0.0000,0.0000,0.0182,4.5335
268,0.0000,0.0000,0.0000,0.0191,4.2883
269,4.3181,110.4747,4.1836,0.1865,8.1226
270,0.0000,0.0000,0.0000,0.0190,9.3616
271,0.0000,0.0000,0.0000,0.0187,4.1977
272,0.0000,0.0000,0.0000,0.0188,4.3608
273,4.7295,111.6427,3.7631,0.1996,2.6866
274,0.0000,0.0000,0.0000,0.0218,5.9214
275,0.0000,0.0000,0.0000,0.0162,5.9236
276,0.0000,0.0000,0.0000,0.0151,2.8818
277,4.3822,110.2668,4.7600,0.1811,6.4622
278,0.0000,0.0000,0.0000,0.0175,5.8440
279,0.0000,0.0000,0.0000,0.0154,5.0343
280,0.0000,0.0000,0.0000,0.0166,2.9648
281,4.7501,112.1735,3.7193,0.2784,2.9272
282,0.0000,0.0000,0.0000,0.0147,7.4615
283,0.0000,0.0000,0.0000,0.0159,2.8907
284,0.0000,0.0000,0.0000,0.0170,3.0211
285,4.7354,111.1960,4.2340,0.2284,3.1962
286,0.0000,0.0000,0.0000,0.0183,7.6038
287,0.0000,0.0000,0.0000,0.0184,4.4877
288,0.0000,0.0000,0.0000,0.0189,4.0506
289,4.3572,111.1820,3.8188,0.2204,3.5446
290,0.0000,0.0000,0.0000,0.0224,10.6536
291,0.0000,0.0000,0.0000,0.0225,7.0499
292,0.0000,0.0000,0.0000,0.0240,6.7604
293,4.3949,110.0969,4.2422,0.2043,4.9234
294,0.0000,0.0000,0.0000,0.0262,10.8477
295,0.0000,0.0000,0.0000,0.0273,8.0360
296,0.0000,0.0000,0.0000,0.0236,8.5913
297,4.5558,110.1560,3.6413,0.2087,3.4283
298,0.0000,0.0000,0.0000,0.0238,9.3048
299,0.0000,0.0000,0.0000,0.0235,7.0153
300,0.0000,0.0000,0.0000,0.0184,7.8777
301,4.3266,109.7492,4.3036,0.2201,3.9036
302,0.0000,0.0000,0.0000,0.0315,16.4209
303,0.0000,0.0000,0.0000,0.0289,11.2657
304,0.0000,0.0000,0.0000,0.0279,9.2751
305,4.3022,109.3730,3.7264,0.2296,2.8950
306,0.0000,0.0000,0.0000,0.0281,11.5527
307,0.0000,0.0000,0.0000,0.0230,8.7276
308,0.0000,0.0000,0.0000,0.0243,6.9527
309,4.2423,109.5288,4.2624,0.2278,2.2409
310,0.0000,0.0000,0.0000,0.0262,9.9031
311,0.0000,0.0000,0.0000,0.0281,8.2548
312,0.0000,0.0000,0.0000,0.0282,9.6215
313,4.4961,110.0191,3.7890,0.2386,3.0702
314,0.0000,0.0000,0.0000,0.0277,11.8439
315,0.0000,0.0000,0.0000,0.0273,10.6652
316,0.0000,0.0000,0.0000,0.0271,8.7730
317,4.3079,109.6741,4.2115,0.2000,4.7338
318,0.0000,0.0000,0.0000,0.0281,8.2404
319,0.0000,0.0000,0.0000,0.0230,9.6460
320,0.0000,0.0000,0.0000,0.0213,7.0704
321,4.3347,109.7840,3.7758,0.2249,2.6550
322,0.0000,0.0000,0.0000,0.0223,10.7265
323,0.0000,0.0000,0.0000,0.0241,7.0043
324,0.0000,0.0000,0.0000,0.0257,7.1427
325,4.8110,111.2034,4.6594,0.2039,2.6730
326,0.0000,0.0000,0.0000,0.0225,7.9972
327,0.0000,0.0000,0.0000,0.0234,7.5179
328,0.0000,0.0000,0.0000,0.0311,7.6959
329,4.5740,109.9594,3.8322,0.2031,2.2500
330,0.0000,0.0000,0.0000,0.0218,7.4758
331,0.0000,0.0000,0.0000,0.0213,5.6482
332,0.0000,0.0000,0.0000,0.0188,6.5229
333,4.5329,110.5275,4.2494,0.1871,3.3384
334,0.0000,0.0000,0.0000,0.0227,11.6595
335,0.0000,0.0000,0.0000,0.0216,7.1650
336,0.0000,0.0000,0.0000,0.0184,6.0488
337,4.4948,110.3305,3.7878,0.1914,2.7192
338,0.0000,0.0000,0.0000,0.0228,9.1576
339,0.0000,0.0000,0.0000,0.0219,7.4800
340,0.0000,0.0000,0.0000,0.0212,5.8861
341,4.4507,110.0074,4.3235,0.2026,5.0018
342,0.0000,0.0000,0.0000,0.0211,9.0418
343,0.0000,0.0000,0.0000,0.0216,5.8728
344,0.0000,0.0000,0.0000,0.0222,5.3122
345,4.6561,110.6430,3.8517,0.2125,2.7756
346,0.0000,0.0000,0.0000,0.0218,9.2135
347,0.0000,0.0000,0.0000,0.0196,6.7405
348,0.0000,0.0000,0.0000,0.0199,5.0015
349,4.4123,110.8162,4.6484,0.3206,6.6417
350,0.0000,0.0000,0.0000,0.0224,7.4750
351,0.0000,0.0000,0.0000,0.0222,6.1702
352,0.0000,0.0000,0.0000,0.0226,5.7356
353,4.3204,110.0976,3.9159,0.3578,3.7555
354,0.0000,0.0000,0.0000,0.0182,7.6379
355,0.0000,0.0000,0.0000,0.0184,4.8208
356,0.0000,0.0000,0.0000,0.0188,4.3529
357,4.6997,112.4611,4.1705,0.1884,3.3355
358,0.0000,0.0000,0.0000,0.0222,9.6362
359,0.0000,0.0000,0.0000,0.0225,7.1561
360,0.0000,0.0000,0.0000,0.0224,7.3533
361,4.4547,110.0243,3.8554,0.1982,3.2026
362,0.0000,0.0000,0.0000,0.0210,9.7973
363,0.0000,0.0000,0.0000,0.0224,5.8276
364,0.0000,0.0000,0.0000,0.0194,6.0480
365,4.3163,110.2504,4.2240,0.1709,3.6948
366,0.0000,0.0000,0.0000,0.0205,10.8652
367,0.0000,0.0000,0.0000,0.0174,5.5628
368,0.0000,0.0000,0.0000,0.0173,4.2936
369,4.2465,109.9890,3.7692,0.1630,2.3429
370,0.0000,0.0000,0.0000,0.0219,5.7071
371,0.0000,0.0000,0.0000,0.0218,5.8751
372,0.0000,0.0000,0.0000,0.0218,5.5278
