39.5785,1124.6907,22.7314,4.4801,1312.5193
14.8629,31.4533,14.2129,4.1795,64.2914
10.6820,26.1559,14.7025,3.6166,39.8430
9.6345,25.4454,13.9883,3.2604,46.6714
9.6166,24.9973,14.5915,3.4862,42.3084
9.6088,27.5558,13.1581,3.8843,41.7930
9.6217,25.2733,13.6621,3.6185,43.8244
9.5665,25.0607,14.6171,3.5963,40.1594
9.6459,25.1586,15.0054,3.6566,42.5335
7.8145,21.2416,11.7815,2.8110,100.3514
7.4771,21.5173,12.4717,2.7852,42.7487
7.3858,21.3366,12.2575,2.9073,47.1128
7.3956,21.2131,13.0425,2.8622,56.4866
7.3950,21.8759,11.8303,2.7943,48.1045
7.6200,21.3075,10.9303,2.8632,51.2790
7.3795,21.2607,12.5965,2.8453,56.9180
7.3450,22.7434,12.6507,3.3655,51.8954
8.8702,21.5371,12.2245,3.2284,54.1398
7.9950,21.3035,11.5695,3.1526,58.9794
19.3092,21.3156,10.5880,3.4540,75.3332
7.4254,21.2958,11.6822,3.2020,71.3946
7.3840,21.2694,13.9165,2.9685,60.4616
7.3656,21.3141,11.4953,2.7881,54.0369
7.4069,21.1850,13.3605,2.8419,47.2057
7.3761,21.2373,11.7862,3.0782,67.5222
8.5239,22.0704,13.0168,3.5117,56.8772
7.4204,21.3112,14.8670,3.6192,48.7822
7.3820,21.1699,13.0898,3.6676,53.6907
7.3516,21.3566,15.9726,3.6275,46.6917
7.4326,21.1606,14.0246,3.5229,70.8593
7.3433,21.5588,14.1183,3.3340,65.6456
7.4088,21.2728,13.5097,3.3569,67.4518
7.3898,21.3150,13.7219,3.3357,68.2376
7.3731,21.2892,13.9690,3.5279,49.8408
7.3405,21.2834,11.8100,3.5529,51.0132
7.3303,21.3037,14.2749,3.6881,67.4030
7.3027,21.3376,12.5771,4.0824,66.7002
7.3536,21.3611,12.5156,4.1394,65.6303
7.3935,21.1688,14.1469,4.1029,77.1879
7.3612,21.2911,13.2975,4.2555,60.7947
7.3839,21.2513,13.1903,4.7605,70.4140
9.2206,21.7598,13.4855,4.8008,73.7333
7.3674,21.4480,13.1496,4.5121,54.5229
7.3776,21.2839,12.5859,4.4947,50.2579
8.5283,22.3727,14.1280,4.7343,51.2367
8.6933,21.0662,15.2847,4.3881,52.5677
7.6553,21.2330,14.0299,4.5614,48.5204
7.4655,21.5483,11.7528,3.9907,53.2427
7.3160,21.2465,13.3445,3.7522,56.3408
7.3459,21.3037,14.1190,3.8192,66.4122
7.3441,21.2728,12.0470,3.8950,74.4411
7.3587,21.2707,13.7295,3.7584,62.8827
9.5957,22.3500,13.7263,4.1203,73.2077
7.3478,21.2785,12.5526,3.9916,65.8295
7.3514,21.2933,13.3609,3.8288,74.1656
7.5385,21.3845,12.5527,4.0982,42.4261
7.3426,21.2828,13.0602,4.0815,75.2329
7.3213,21.2737,11.0358,4.0295,49.3397
7.3515,21.4805,11.0940,4.0958,74.9782
7.3785,21.3414,12.8247,4.1292,56.3262
7.2734,21.2749,11.4795,3.8080,50.1642
7.5046,21.6356,10.1695,3.5646,54.1257
7.3206,21.3571,11.5729,3.4542,51.2952
7.3691,21.2831,9.6612,3.4268,52.2598
8.8463,22.2065,9.3578,3.4842,52.1052
7.9443,21.4149,8.7471,3.7320,74.1617
7.3240,21.2290,9.3763,4.0274,70.0433
7.4427,21.6161,11.9700,3.5484,70.4228
7.3831,21.2155,10.7528,3.4330,66.2156
7.3666,21.2517,9.2186,3.3224,57.8407
7.3275,21.2110,9.7922,3.5620,60.1073
7.3575,21.2422,10.4254,3.7091,58.2658
7.3749,21.2763,10.3474,3.6285,52.3729
7.4489,22.1765,12.0240,3.4235,72.9271
7.4089,21.3467,9.6802,3.4294,68.1348
7.4903,21.2766,10.2399,3.2451,75.7481
7.3616,21.3205,8.6821,3.2926,60.3432
7.4699,21.1981,9.1818,3.5112,66.6390
7.4092,21.3142,8.9358,3.6075,32.7333
7.4807,21.3269,8.6920,3.5162,62.9842
7.4192,21.3251,8.6120,3.4890,73.1547
7.3463,21.2334,9.9403,3.5627,50.9173
7.4051,21.2238,10.0002,3.7961,52.5748
7.4480,21.1625,11.2144,4.2040,52.9711
7.4043,21.3347,11.3246,4.2307,50.7057
7.4103,21.4335,9.9845,4.1084,56.0633
7.4168,21.2687,10.7351,3.8784,59.7010
7.4165,21.2748,11.3108,3.7470,44.2509
9.1396,21.2918,11.0024,3.5622,70.0040
7.3735,21.2677,10.1626,3.4974,68.6988
7.3320,21.7474,9.4858,3.2828,65.1520
7.6044,21.3183,10.1779,3.4211,41.4783
7.3598,21.2145,9.3939,3.4258,63.6060
7.3693,21.2381,8.6398,3.1950,52.5578
7.3175,21.2216,10.5180,3.1259,38.8170
10.0535,22.3338,14.2855,3.2055,45.1217
7.9215,21.7463,12.2518,3.3164,53.7640
