preprocessing_time,inference_time,postprocessing_time,tracking_time,network_time
5.6906,32.2564,0.3903,2.3131,38.3496
5.6512,32.5313,0.3905,2.5365,51.8905
5.6891,32.6209,0.4032,2.5456,60.7412
5.6977,32.3288,0.3877,2.4614,64.1244
5.6295,31.0025,0.3903,2.4016,31.5761
5.6982,30.8931,0.3886,2.5461,30.4740
5.7011,32.8202,0.3896,2.6300,51.4591
5.6438,32.2840,0.3877,2.5821,45.1024
5.6422,32.6993,0.3889,2.4397,28.8299
5.6829,33.5886,0.3891,2.6493,35.6901
5.6462,30.9987,0.3912,2.4161,44.5478
5.6436,32.0880,0.4056,2.4314,44.4314
5.6543,30.9854,0.4089,2.3284,49.6230
5.6868,30.9234,0.3922,2.4126,46.5850
5.6667,31.5526,0.3896,2.3644,46.0267
5.6641,31.4968,0.3898,2.3077,41.1416
5.6503,34.5821,0.3891,2.3890,43.9895
5.6791,33.8676,0.3874,2.3851,61.6808
5.6951,35.1338,0.4091,2.3870,58.3750
5.6794,35.8276,0.4311,2.3923,49.6696
5.7921,35.7602,0.3908,2.3792,50.6777
5.7080,34.5297,0.3901,2.5561,64.8161
5.6398,35.6553,0.3920,2.7864,48.5265
5.6534,34.6761,0.4082,2.7857,47.4766
5.6546,34.5957,0.3891,2.8069,62.5537
5.6672,35.1348,0.3905,2.8267,60.9808
6.6917,37.0033,0.3920,2.8527,67.0603
5.6510,33.2730,0.3905,2.7444,62.9411
5.6148,35.2800,0.4616,3.0227,56.6209
7.0179,35.2490,0.3955,2.5105,58.8271
6.2141,33.9816,0.3886,2.7850,54.6307
5.6715,33.8869,0.4725,3.0801,70.8890
5.6522,32.8729,0.3932,2.7511,48.3306
5.7170,33.2737,0.3912,2.8322,47.7859
6.0015,35.0194,0.4146,3.6802,33.8843
5.5635,34.5075,0.3912,2.6858,42.8520
5.6880,34.0934,0.3922,2.6824,35.1440
5.6896,33.1082,0.3905,3.0704,50.7413
5.9178,35.7029,0.3939,2.8720,69.1134
5.6586,33.1497,0.3967,2.8930,45.9020
5.6498,33.3829,0.3891,3.0563,51.5219
5.7173,33.5097,0.3896,2.8834,67.5000
5.7220,33.3045,0.3910,2.8574,58.7251
5.6958,34.1098,0.4175,2.8877,36.8892
5.8913,34.2915,0.3972,2.9066,43.5134
5.7745,32.4762,0.3901,2.8703,63.4889
5.6934,33.1726,0.3905,2.9092,66.8343
5.7671,35.2166,0.3994,2.8665,45.7504
7.0930,32.3403,0.3893,2.9495,41.2279
6.2592,32.3892,0.4005,2.7158,63.2353
5.7316,34.0743,0.4480,3.0501,50.6960
5.6903,32.6853,0.3934,2.7459,44.4851
5.7034,33.3190,0.3910,2.7514,66.8352
5.7142,33.4852,0.3908,2.7452,56.6646
5.7251,33.3769,0.3879,2.7885,49.7216
8.5609,35.0626,0.3946,2.9633,76.0186
5.7151,33.7481,0.3912,2.9252,61.2204
5.7592,33.2191,0.3910,2.9166,63.7141
5.6555,31.0447,0.3886,2.8782,65.0330
5.7290,34.4079,0.3898,2.9483,70.5250
5.7251,33.3416,0.3912,2.7413,54.8008
5.6884,34.1611,0.4015,2.9304,62.8186
5.6951,34.1208,0.3960,2.9542,58.8339
5.6558,34.2414,0.3915,2.9998,55.7115
5.6515,33.3476,0.3893,3.0689,65.5427
5.7352,34.6472,0.4027,3.2203,63.9946
7.0267,33.7589,0.3917,3.0515,65.7712
6.3229,34.7528,0.3908,3.1054,50.4281
5.7094,35.5833,0.4487,3.1502,73.1084
5.7266,34.3626,0.3927,2.9149,45.6032
5.7163,34.7805,0.3920,3.1548,58.9564
5.7027,34.1175,0.3889,3.0773,65.7136
7.2396,36.1629,0.3967,3.0549,58.1459
5.5821,28.2168,0.3300,2.7142,50.1569
5.7764,29.2678,0.3331,2.7082,65.9145
5.6643,29.1016,0.3364,2.7239,61.1738
5.6939,29.1007,0.3710,2.6696,68.1648
5.7206,28.8191,0.3335,2.7342,53.3926
5.8441,28.4994,0.3321,2.5737,52.7507
5.7132,28.3246,0.3326,2.4033,49.2263
5.6860,28.3442,0.3340,2.4450,49.1908
5.6703,28.5118,0.3333,2.4166,62.0680
5.6505,28.8785,0.3793,2.7895,48.3022
5.7504,28.3909,0.3307,2.9542,39.5738
5.7206,28.4629,0.3326,2.8160,47.6679
6.3860,31.4264,0.3555,2.8281,42.0040
9.8164,39.5846,0.4618,3.8941,48.2431
7.7498,39.4988,0.5467,4.1671,51.0376
7.6237,40.7696,0.4644,4.0050,45.1373
7.6129,35.7623,0.3755,3.2525,40.9968
5.7230,34.8763,0.3920,3.5114,61.4973
5.7306,33.4296,0.3910,3.1850,42.2638
5.6760,34.7447,0.3898,3.1617,54.0278
5.7340,35.1655,0.3979,3.2322,47.4704
5.6820,33.5937,0.3903,3.0143,46.3197
5.7395,34.0285,0.3905,3.0310,70.8105
5.6856,34.3029,0.3922,2.9910,40.6283
5.7356,32.5077,0.3912,2.7809,45.5846
5.6565,33.4029,0.3884,3.0127,46.5395
5.6419,33.7474,0.4046,3.0029,47.2032
5.7163,33.9339,0.4296,2.9924,43.9278
5.7290,32.6140,0.3881,3.1054,51.1635
5.6841,33.8454,0.3908,3.1805,32.8992
5.6922,33.0472,0.3908,2.9838,32.8860
5.7197,34.4164,0.4048,2.9547,63.5044
5.6870,35.0380,0.3896,2.7108,55.1746
5.8115,35.6476,0.3920,2.5215,59.6274
5.7309,34.1971,0.3908,2.6410,40.0402
7.8082,37.0069,0.4306,2.8527,58.9016
5.8084,34.8346,0.3927,2.8453,62.1190
5.7130,36.1853,0.3932,2.7604,66.9481
7.5576,37.4346,0.3846,3.0892,69.5340
6.2444,35.2886,0.3886,3.1497,65.9287
5.6596,36.1574,0.4704,3.3214,49.3912
5.6736,33.0420,0.3932,3.0859,50.8053
5.6801,32.4981,0.3898,3.0093,43.4227
5.7466,33.4539,0.3879,2.9793,60.4323
5.6829,33.3667,0.4728,2.9223,61.5553
5.6789,33.4928,0.3910,3.1199,65.3174
6.4580,33.2875,0.4435,2.9652,61.8458
5.7368,34.9581,0.3910,2.6529,59.2612
5.7180,35.1827,0.4387,2.8415,60.8191
5.7268,34.1694,0.4089,3.0758,60.6191
5.7166,34.7371,0.3898,2.8856,43.2709
5.5630,34.2159,0.3905,2.9292,44.9014
5.7073,36.2611,0.3896,3.1972,59.4448
5.6148,36.5081,0.3891,3.3708,60.1172
5.6229,37.4198,0.3757,3.4034,69.1782
5.6126,36.7951,0.3786,3.0241,58.1896
5.6398,38.7084,0.3879,3.0458,64.2181
5.6190,38.9493,0.3827,2.9395,56.1095
5.8370,39.4301,0.3870,3.1395,46.2064
5.6674,38.0924,0.3769,3.3600,50.5033
5.6770,38.2586,0.3757,3.3953,68.2934
