frame_number,prep_ms,inference_ms,post_ms,tracking_ms,opflow_ms
1,47.0498,125.3175,52.5012,0.0713,2.5852
2,0.0000,0.0000,0.0000,0.0235,5.5465
3,0.0000,0.0000,0.0000,0.0212,4.5894
4,0.0000,0.0000,0.0000,0.0209,4.9150
5,0.0000,0.0000,0.0000,0.0225,4.5894
6,0.0000,0.0000,0.0000,0.0204,7.4214
7,0.0000,0.0000,0.0000,0.0224,4.7800
8,4.1348,109.4003,6.1348,0.1823,0.9677
9,0.0000,0.0000,0.0000,0.0226,5.2872
10,0.0000,0.0000,0.0000,0.0225,6.1526
11,0.0000,0.0000,0.0000,0.0212,5.4352
12,0.0000,0.0000,0.0000,0.0215,5.4793
13,0.0000,0.0000,0.0000,0.0230,5.0075
14,0.0000,0.0000,0.0000,0.0219,5.9300
15,4.5119,112.6740,5.6534,0.1637,1.2134
16,0.0000,0.0000,0.0000,0.0270,10.0077
17,0.0000,0.0000,0.0000,0.0226,5.8719
18,0.0000,0.0000,0.0000,0.0223,6.1967
19,0.0000,0.0000,0.0000,0.0236,7.4404
20,0.0000,0.0000,0.0000,0.0221,6.4395
21,0.0000,0.0000,0.0000,0.0222,5.7926
22,4.3980,110.6785,4.9920,0.1546,1.5409
23,0.0000,0.0000,0.0000,0.0250,7.6418
24,0.0000,0.0000,0.0000,0.0250,7.2467
25,0.0000,0.0000,0.0000,0.0243,8.7056
26,0.0000,0.0000,0.0000,0.0257,6.7517
27,0.0000,0.0000,0.0000,0.0259,6.6739
28,0.0000,0.0000,0.0000,0.0239,6.5374
29,4.3598,109.7279,5.0090,0.1565,2.2470
30,0.0000,0.0000,0.0000,0.0212,7.8556
31,0.0000,0.0000,0.0000,0.0233,5.5768
32,0.0000,0.0000,0.0000,0.0234,5.9319
33,0.0000,0.0000,0.0000,0.0216,5.7866
34,0.0000,0.0000,0.0000,0.0226,5.8940
35,0.0000,0.0000,0.0000,0.0237,5.0357
36,4.4041,112.0024,6.2634,0.1957,3.3569
37,0.0000,0.0000,0.0000,0.0214,7.0659
38,0.0000,0.0000,0.0000,0.0235,6.1540
39,0.0000,0.0000,0.0000,0.0233,5.6952
