frame_number,prep_ms,inference_ms,post_ms,tracking_ms,opflow_ms
1,45.8624,126.2817,58.8193,0.0801,3.7120
2,0.0000,0.0000,0.0000,0.0251,4.8958
3,0.0000,0.0000,0.0000,0.0234,4.5188
4,0.0000,0.0000,0.0000,0.0216,4.9288
5,0.0000,0.0000,0.0000,0.0226,5.7251
6,3.9431,109.3386,5.1608,0.1325,0.9339
7,0.0000,0.0000,0.0000,0.0214,5.3369
8,0.0000,0.0000,0.0000,0.0227,5.3488
9,0.0000,0.0000,0.0000,0.0221,6.3114
10,0.0000,0.0000,0.0000,0.0218,5.8413
11,3.9819,110.8116,5.3293,0.1643,0.8861
12,0.0000,0.0000,0.0000,0.0215,5.4600
13,0.0000,0.0000,0.0000,0.0229,5.2970
14,0.0000,0.0000,0.0000,0.0227,5.3449
15,0.0000,0.0000,0.0000,0.0216,4.8693
16,3.8794,110.8097,5.4508,0.1483,1.2083
17,0.0000,0.0000,0.0000,0.0229,10.0840
18,0.0000,0.0000,0.0000,0.0236,7.0497
19,0.0000,0.0000,0.0000,0.0249,6.9825
20,0.0000,0.0000,0.0000,0.0245,9.0807
21,4.2063,110.4484,4.7975,0.1513,1.5704
22,0.0000,0.0000,0.0000,0.0247,8.7190
23,0.0000,0.0000,0.0000,0.0242,7.9441
24,0.0000,0.0000,0.0000,0.0258,9.4335
25,0.0000,0.0000,0.0000,0.0260,13.4872
26,4.0734,111.4119,4.8669,0.1573,1.9410
27,0.0000,0.0000,0.0000,0.0221,9.0755
28,0.0000,0.0000,0.0000,0.0228,6.3342
29,0.0000,0.0000,0.0000,0.0240,7.3357
30,0.0000,0.0000,0.0000,0.0232,5.8320
31,4.1536,110.8646,5.1049,0.1458,2.0755
32,0.0000,0.0000,0.0000,0.0231,7.1267
33,0.0000,0.0000,0.0000,0.0237,6.9817
34,0.0000,0.0000,0.0000,0.0253,6.9719
35,0.0000,0.0000,0.0000,0.0251,7.4570
36,4.5420,111.2941,4.9962,0.1969,3.4075
37,0.0000,0.0000,0.0000,0.0250,6.8687
38,0.0000,0.0000,0.0000,0.0244,6.8866
39,0.0000,0.0000,0.0000,0.0253,6.3870
40,0.0000,0.0000,0.0000,0.0253,6.9116
41,4.2074,111.3453,4.6830,0.1840,3.0281
42,0.0000,0.0000,0.0000,0.0240,8.2511
43,0.0000,0.0000,0.0000,0.0227,6.9479
44,0.0000,0.0000,0.0000,0.0222,5.7504
45,0.0000,0.0000,0.0000,0.0233,5.5039
46,4.6012,109.7601,4.1000,0.2126,5.3163
47,0.0000,0.0000,0.0000,0.0225,8.3449
48,0.0000,0.0000,0.0000,0.0207,5.5066
49,0.0000,0.0000,0.0000,0.0223,5.6956
50,0.0000,0.0000,0.0000,0.0247,5.1619
51,4.7301,111.5247,4.6210,0.1671,4.8510
52,0.0000,0.0000,0.0000,0.0182,9.8089
53,0.0000,0.0000,0.0000,0.0201,4.1771
54,0.0000,0.0000,0.0000,0.0198,3.8757
55,0.0000,0.0000,0.0000,0.0191,4.1380
56,4.1445,111.3777,4.3610,0.1577,14.6963
57,0.0000,0.0000,0.0000,0.0186,6.9366
58,0.0000,0.0000,0.0000,0.0193,4.7207
59,0.0000,0.0000,0.0000,0.0174,4.7135
60,0.0000,0.0000,0.0000,0.0165,3.1788
61,4.6145,113.1706,4.2524,0.1536,5.8397
62,0.0000,0.0000,0.0000,0.0154,8.4377
63,0.0000,0.0000,0.0000,0.0171,3.2730
64,0.0000,0.0000,0.0000,0.0169,2.9882
65,0.0000,0.0000,0.0000,0.0172,3.0300
66,4.2823,111.4541,4.3011,0.1667,2.9195
67,0.0000,0.0000,0.0000,0.0002,4.2142
68,0.0000,0.0000,0.0000,0.0003,0.3725
69,0.0000,0.0000,0.0000,0.0004,0.3643
70,0.0000,0.0000,0.0000,0.0002,0.4061
71,5.3337,115.4816,4.4820,0.1675,6.7474
72,0.0000,0.0000,0.0000,0.0190,7.9234
73,0.0000,0.0000,0.0000,0.0199,3.8974
74,0.0000,0.0000,0.0000,0.0201,4.1174
75,0.0000,0.0000,0.0000,0.0218,4.3580
76,4.5000,111.9242,4.0143,0.1747,4.4339
77,0.0000,0.0000,0.0000,0.0221,7.3721
78,0.0000,0.0000,0.0000,0.0216,5.6760
79,0.0000,0.0000,0.0000,0.0225,5.6770
80,0.0000,0.0000,0.0000,0.0230,5.2154
81,4.3872,111.8296,3.9908,0.1603,4.8078
82,0.0000,0.0000,0.0000,0.0162,7.2754
83,0.0000,0.0000,0.0000,0.0170,3.0964
84,0.0000,0.0000,0.0000,0.0164,2.7870
85,0.0000,0.0000,0.0000,0.0199,2.7397
86,4.6414,112.6421,3.9563,0.1522,4.0412
87,0.0000,0.0000,0.0000,0.0217,7.1176
88,0.0000,0.0000,0.0000,0.0231,5.5673
89,0.0000,0.0000,0.0000,0.0226,5.9066
90,0.0000,0.0000,0.0000,0.0240,6.9684
91,4.2936,110.8894,4.0793,0.1622,3.4640
92,0.0000,0.0000,0.0000,0.0233,7.3301
93,0.0000,0.0000,0.0000,0.0232,6.1324
94,0.0000,0.0000,0.0000,0.0236,5.7730
95,0.0000,0.0000,0.0000,0.0202,5.3840
96,4.5453,111.8686,4.2573,0.1741,3.4679
97,0.0000,0.0000,0.0000,0.0241,7.1383
98,0.0000,0.0000,0.0000,0.0227,6.7321
99,0.0000,0.0000,0.0000,0.0229,4.7144
100,0.0000,0.0000,0.0000,0.0221,6.1108
101,4.6487,110.4388,4.1984,0.1622,3.6735
102,0.0000,0.0000,0.0000,0.0223,6.9492
103,0.0000,0.0000,0.0000,0.0193,4.9574
104,0.0000,0.0000,0.0000,0.0205,3.7412
105,0.0000,0.0000,0.0000,0.0202,3.8628
106,4.2670,112.3587,3.9229,0.1558,3.9855
107,0.0000,0.0000,0.0000,0.0225,7.2286
108,0.0000,0.0000,0.0000,0.0234,5.3018
109,0.0000,0.0000,0.0000,0.0250,5.1131
110,0.0000,0.0000,0.0000,0.0239,5.2987
111,4.2967,111.2681,4.0426,0.1638,4.1616
112,0.0000,0.0000,0.0000,0.0208,6.2514
113,0.0000,0.0000,0.0000,0.0179,3.8206
114,0.0000,0.0000,0.0000,0.0184,4.2314
115,0.0000,0.0000,0.0000,0.0167,4.9229
116,3.9832,110.1329,4.0844,0.1292,4.3695
117,0.0000,0.0000,0.0000,0.0180,8.1763
118,0.0000,0.0000,0.0000,0.0201,3.6735
119,0.0000,0.0000,0.0000,0.0194,3.8356
120,0.0000,0.0000,0.0000,0.0202,3.7991
